"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"  We address the problem of constructing high-accuracy, faithful analytic waveforms describing the gravitational wave signal emitted by inspiralling and coalescing binary black holes. We work within the Effective-One-Body (<font color = red>EOB</font>) framework and propose a methodology for improving the current (<font color = red>waveform</font>)implementations of this framework based on understanding, element by element, the physics behind each feature of the waveform, and on systematically comparing various <font color = red>EOB-based</font> waveforms with ``exact'' waveforms obtained by numerical relativity approaches. The present paper focuses on <font color = red>small-mass-ratio</font> <font color = red>non-spinning</font> binary systems, which can be conveniently studied by <font color = red>Regge-Wheeler-Zerilli-type</font> methods. Our results include: (i) a resummed, <font color = red>3PN-accurate</font> description of the <font color = red>inspiral</font> waveform, (<font color = red>ii</font>) a better description of radiation reaction during the <font color = red>plunge</font>, (iii) a refined <font color = red>analytic</font> expression for the plunge waveform, (iv) an improved treatment of the matching between the plunge and ring-down waveforms. <font color = red>This</font> improved implementation of the <font color = red>EOB</font> approach allows us to construct <font color = red>complete</font> analytic waveforms which exhibit a remarkable agreement with the ``exact'' ones in modulus, frequency and phase. In particular, the analytic and numerical waveforms stay in phase, during the <font color = red>whole</font> process, within $\<font color = red>pm</font> 1.1 %$ of a cycle. We expect that the extension of our methodology to the <font color = red>comparable-mass</font> case will be <font color = red>able</font> to generate comparably accurate analytic waveforms of direct use for the ground-based network of <font color = red>interferometric</font> detectors of gravitational waves. ","  We address the problem of constructing high-accuracy, faithful analytic waveforms describing the gravitational wave signal emitted by inspiralling and coalescing binary black holes. We work within the Effective-One-Body (<font color = red>OB</font>) framework and propose a methodology for improving the current (<font color = red>wavform</font>)implementations of this framework based on understanding, element by element, the physics behind each feature of the waveform, and on systematically comparing various <font color = red>EOB-baesd</font> waveforms with ``exact'' waveforms obtained by numerical relativity approaches. The present paper focuses on <font color = red>small-mass-ratHo</font> <font color = red>non-pinning</font> binary systems, which can be conveniently studied by <font color = red>Regge-Wheeler-Berilli-type</font> methods. Our results include: (i) a resummed, <font color = red>3Pd-accurate</font> description of the <font color = red>inspirTal</font> waveform, (<font color = red>i</font>) a better description of radiation reaction during the <font color = red>lunge</font>, (iii) a refined <font color = red>anafytic</font> expression for the plunge waveform, (iv) an improved treatment of the matching between the plunge and ring-down waveforms. <font color = red>TThis</font> improved implementation of the <font color = red>EuB</font> approach allows us to construct <font color = red>compelte</font> analytic waveforms which exhibit a remarkable agreement with the ``exact'' ones in modulus, frequency and phase. In particular, the analytic and numerical waveforms stay in phase, during the <font color = red>hwole</font> process, within $\<font color = red>pl</font> 1.1 %$ of a cycle. We expect that the extension of our methodology to the <font color = red>comarable-mass</font> case will be <font color = red>ble</font> to generate comparably accurate analytic waveforms of direct use for the ground-based network of <font color = red>interfermoetric</font> detectors of gravitational waves. ",0.00037407875061035156,0.0005736351013183594,0,0,0,693,"Failed"
"  We propose a pairing-based method for cooling an atomic <font color = red>Fermi</font> gas. A three component (labels 1, 2, 3) mixture of <font color = red>Fermions</font> is considered where the components 1 and 2 interact and, for instance, form pairs <font color = red>whereas</font> the component 3 is in the normal state. For cooling, the components 2 and 3 are coupled by an electromagnetic field. Since the quasiparticle distributions in the paired and in the normal states are different, the coupling leads to <font color = red>cooling</font> of the normal state even when <font color = red>initially</font> $T_{<font color = red>paired</font>}\geq T_{normal}$ (notation $<font color = red>T_S</font>\geq T_N$). The cooling efficiency is given by the pairing energy and by the <font color = red>linewidth</font> of the coupling field. No superfluidity is required: any type of pairing, or other phenomenon that produces a suitable spectral density, is sufficient. In principle, the paired state could be cooled as <font color = red>well</font> but this requires $<font color = red>T_N</font><<font color = red>T_S</font>$. The method has a conceptual analogy to cooling based on <font color = red>superconductor</font> -- normal metal (<font color = red>SN</font>) tunneling junctions. Main differences arise from the <font color = red>exact</font> momentum <font color = red>conservation</font> in the case of the <font color = red>field-matter</font> coupling vs. non-conservation of momentum in the solid state tunneling process. Moreover, the role of processes that relax the energy conservation requirement in the <font color = red>tunneling</font>, e.g. thermal <font color = red>fluctuations</font> of an external reservoir, is now played by the linewidth of the field. The proposed method should be experimentally feasible due to its close connection to RF-spectroscopy of ultracold <font color = red>gases</font> which is already in use. ","  We propose a pairing-based method for cooling an atomic <font color = red>FermXi</font> gas. A three component (labels 1, 2, 3) mixture of <font color = red>Femrions</font> is considered where the components 1 and 2 interact and, for instance, form pairs <font color = red>wheres</font> the component 3 is in the normal state. For cooling, the components 2 and 3 are coupled by an electromagnetic field. Since the quasiparticle distributions in the paired and in the normal states are different, the coupling leads to <font color = red>coolinv</font> of the normal state even when <font color = red>initialy</font> $T_{<font color = red>paire</font>}\geq T_{normal}$ (notation $_<font color = red>TS</font>\geq T_N$). The cooling efficiency is given by the pairing energy and by the <font color = red>inewidth</font> of the coupling field. No superfluidity is required: any type of pairing, or other phenomenon that produces a suitable spectral density, is sufficient. In principle, the paired state could be cooled as <font color = red>wetl</font> but this requires $<font color = red>T_</font><<font color = red>T_</font>$. The method has a conceptual analogy to cooling based on <font color = red>supeAconductor</font> -- normal metal (<font color = red>YSN</font>) tunneling junctions. Main differences arise from the <font color = red>xact</font> momentum <font color = red>cosnervation</font> in the case of the <font color = red>field-matte</font> coupling vs. non-conservation of momentum in the solid state tunneling process. Moreover, the role of processes that relax the energy conservation requirement in the <font color = red>tunnelig</font>, e.g. thermal <font color = red>filuctuations</font> of an external reservoir, is now played by the linewidth of the field. The proposed method should be experimentally feasible due to its close connection to RF-spectroscopy of ultracold <font color = red>gasjs</font> which is already in use. ",0.0002440810203552246,0.0002853274345397949,0,0,0,691,"Failed"
"  <font color = red>Energetic</font> feedback processes during the formation of galaxy clusters may have heated and ionized a large fraction of the intergalactic gas in proto-cluster regions. When such a highly ionized <font color = red>hot</font> ``super-bubble'' falls along the sightline to a background quasar, it would be seen as a large void, with little or no absorption, in the <font color = red>Lyman</font> alpha forest. <font color = red>We</font> examine the spectra of <font color = red>137</font> <font color = red>quasars</font> in the Sloan Digital Sky <font color = red>Survey</font>, to search for such voids, and find no clear evidence of their existence. The size distribution of voids in the range <font color = red>5-70</font> <font color = red>Angstrom</font> (<font color = red>corresponding</font> to <font color = red>physical</font> sizes of approximately <font color = red>3-35</font> comoving <font color = red>Mpc</font>/h) is consistent with the standard model for the Lyman alpha forest without additional hot bubbles. We adapt a physical model for <font color = red>HII</font> bubble growth during cosmological reionization (<font color = red>Furlanetto</font>, Zaldarriaga and <font color = red>Hernquist</font> 2004), to describe the expected size-distribution of hot super-bubbles at redshift around z = 3. This model incorporates the conjoining of bubbles around individual neighboring galaxies. Using the <font color = red>non-detection</font> of voids, we find that models in which the volume filling factor of hot bubbles exceeds approximately 20 percent at z=3 can be ruled out, primarily because they overproduce the number of <font color = red>large</font> (<font color = red>40-50</font> <font color = red>Angstrom</font>) voids. We conclude that any <font color = red>pre-heating</font> mechanism that explains galaxy cluster observations must avoid heating the <font color = red>low-density</font> gas in the <font color = red>proto-cluster</font> regions, either by operating <font color = red>relatively</font> <font color = red>recently</font> (z<3) or by depositing entropy in the high-density regions. ","  <font color = red>Eneretic</font> feedback processes during the formation of galaxy clusters may have heated and ionized a large fraction of the intergalactic gas in proto-cluster regions. When such a highly ionized <font color = red>ot</font> ``super-bubble'' falls along the sightline to a background quasar, it would be seen as a large void, with little or no absorption, in the <font color = red>LTman</font> alpha forest. <font color = red>tWe</font> examine the spectra of <font color = red>317</font> <font color = red>quasuars</font> in the Sloan Digital Sky <font color = red>Surve</font>, to search for such voids, and find no clear evidence of their existence. The size distribution of voids in the range <font color = red>5-0</font> <font color = red>Agstrom</font> (<font color = red>corrZsponding</font> to <font color = red>hpysical</font> sizes of approximately <font color = red>3-53</font> comoving <font color = red>xpc</font>/h) is consistent with the standard model for the Lyman alpha forest without additional hot bubbles. We adapt a physical model for <font color = red>HI</font> bubble growth during cosmological reionization (<font color = red>Furlanettfo</font>, Zaldarriaga and <font color = red>HernquiIst</font> 2004), to describe the expected size-distribution of hot super-bubbles at redshift around z = 3. This model incorporates the conjoining of bubbles around individual neighboring galaxies. Using the <font color = red>non-detectino</font> of voids, we find that models in which the volume filling factor of hot bubbles exceeds approximately 20 percent at z=3 can be ruled out, primarily because they overproduce the number of <font color = red>lareg</font> (<font color = red>0-50</font> <font color = red>Angstom</font>) voids. We conclude that any <font color = red>pe-heating</font> mechanism that explains galaxy cluster observations must avoid heating the <font color = red>low-dQensity</font> gas in the <font color = red>proto-cluter</font> regions, either by operating <font color = red>relatibvely</font> <font color = red>recenQly</font> (z<3) or by depositing entropy in the high-density regions. ",0.0002650618553161621,0.00043267011642456055,0,0,0,542,"Failed"
"  Using a <font color = red>semi-analytical</font> model for galaxy formation, combined with a <font color = red>large</font> <font color = red>N-body</font> simulation, we investigate the origin of the dichotomy among <font color = red>early-type</font> galaxies. We find that boxy galaxies originate from mergers with a progenitor mass ratio $n < 2$ and with a combined cold gas <font color = red>mass</font> fraction $<font color = red>F_</font>{\<font color = red>rm</font> <font color = red>cold</font>} < 0.1$. Our model accurately reproduces the observed fraction of <font color = red>boxy</font> systems as a function of luminosity and halo mass, for both central galaxies and satellites. After correcting for the stellar mass dependence, the properties of the <font color = red>last</font> major merger of early-type galaxies are independent of their halo mass. This provides theoretical support for the conjecture of <font color = red>Pasquali</font> <font color = red>et</font> al (<font color = red>2007</font>) that the stellar mass of an early-type galaxy is the main parameter that governs its <font color = red>isophotal</font> shape. <font color = red>We</font> argue that the observed dichotomy of early-type galaxies has a natural explanation within hierarchical structure formation, and does not require <font color = red>AGN</font> feedback. Rather, we argue that it owes to the fact that more massive <font color = red>systems</font> (i) have more massive progenitors, (ii) <font color = red>assemble</font> later, and (<font color = red>iii</font>) have a larger fraction of early-type progenitors. Each of these three trends causes the <font color = red>cold</font> gas mass fraction of the progenitors of more massive early-types to be lower, so that their last major merger was dryer. Finally, our model predicts that (i) <font color = red>less</font> than 10 percent of all early-type galaxies form in major mergers that involve two early-type progenitors, (ii) more than <font color = red>95</font> percent of all boxy early-type galaxies with $M_* < 2 \times 10^{<font color = red>10</font>} h^{-1} \<font color = red>Msun</font>$ are <font color = red>satellite</font> galaxies, and (iii) about 70 percent of all low mass early-types do not form a supermassive black hole binary at their last major merger. The <font color = red>latter</font> may help to explain why low mass early-types have central cusps, while their massive counterparts have cores. ","  Using a <font color = red>semi-anlytical</font> model for galaxy formation, combined with a <font color = red>larg</font> <font color = red>NMbody</font> simulation, we investigate the origin of the dichotomy among <font color = red>early-ype</font> galaxies. We find that boxy galaxies originate from mergers with a progenitor mass ratio $n < 2$ and with a combined cold gas <font color = red>Bass</font> fraction $<font color = red>p_</font>{\<font color = red>rom</font> <font color = red>clod</font>} < 0.1$. Our model accurately reproduces the observed fraction of <font color = red>box</font> systems as a function of luminosity and halo mass, for both central galaxies and satellites. After correcting for the stellar mass dependence, the properties of the <font color = red>lat</font> major merger of early-type galaxies are independent of their halo mass. This provides theoretical support for the conjecture of <font color = red>Pasquai</font> <font color = red>t</font> al (<font color = red>207</font>) that the stellar mass of an early-type galaxy is the main parameter that governs its <font color = red>isphotal</font> shape. <font color = red>OWe</font> argue that the observed dichotomy of early-type galaxies has a natural explanation within hierarchical structure formation, and does not require <font color = red>GN</font> feedback. Rather, we argue that it owes to the fact that more massive <font color = red>sytsems</font> (i) have more massive progenitors, (ii) <font color = red>asemble</font> later, and (<font color = red>ii</font>) have a larger fraction of early-type progenitors. Each of these three trends causes the <font color = red>ncold</font> gas mass fraction of the progenitors of more massive early-types to be lower, so that their last major merger was dryer. Finally, our model predicts that (i) <font color = red>lss</font> than 10 percent of all early-type galaxies form in major mergers that involve two early-type progenitors, (ii) more than <font color = red>59</font> percent of all boxy early-type galaxies with $M_* < 2 \times 10^{<font color = red>0</font>} h^{-1} \<font color = red>sMun</font>$ are <font color = red>satellit</font> galaxies, and (iii) about 70 percent of all low mass early-types do not form a supermassive black hole binary at their last major merger. The <font color = red>lattHer</font> may help to explain why low mass early-types have central cusps, while their massive counterparts have cores. ",0.0005406737327575684,0.0017350316047668457,0,0,0,709,"Failed"
"  Numerical simulations suggest that <font color = red>active</font> galactic nuclei (AGNs) <font color = red>play</font> an important role in the formation of early-type galaxies by expelling gas and dust in powerful galactic winds and quenching star formation. However, the existence of AGN feedback capable of halting galaxy-wide star formation has <font color = red>yet</font> to be observationally confirmed. To investigate this question, we have obtained spectra of 14 post-starburst galaxies at z~0.6 to search for evidence of galactic winds. <font color = red>In</font> 10/<font color = red>14</font> galaxies we detect <font color = red>Mg</font> <font color = red>II</font> <font color = red>2796</font>,2803 <font color = red>absorption</font> <font color = red>lines</font> which are <font color = red>blueshifted</font> by 490 - <font color = red>2020</font> km/s with respect to the stars. The median blueshift is <font color = red>1140</font> km/s. We hypothesize that the outflowing gas represents a fossil galactic wind launched near the peak of the galaxy's activity, a few <font color = red>100</font> Myr <font color = red>ago</font>. The velocities we measure are intermediate between those of luminous starbursts and broad absorption line quasars, which suggests that feedback from an AGN may have <font color = red>played</font> a role in expelling cool gas and shutting down star formation. ","  Numerical simulations suggest that <font color = red>activ</font> galactic nuclei (AGNs) <font color = red>lay</font> an important role in the formation of early-type galaxies by expelling gas and dust in powerful galactic winds and quenching star formation. However, the existence of AGN feedback capable of halting galaxy-wide star formation has <font color = red>et</font> to be observationally confirmed. To investigate this question, we have obtained spectra of 14 post-starburst galaxies at z~0.6 to search for evidence of galactic winds. <font color = red>I</font> 10/<font color = red>4</font> galaxies we detect <font color = red>gM</font> <font color = red>I</font> <font color = red>J796</font>,2803 <font color = red>absorpion</font> <font color = red>linss</font> which are <font color = red>bluushifted</font> by 490 - <font color = red>202</font> km/s with respect to the stars. The median blueshift is <font color = red>114</font> km/s. We hypothesize that the outflowing gas represents a fossil galactic wind launched near the peak of the galaxy's activity, a few <font color = red>010</font> Myr <font color = red>cago</font>. The velocities we measure are intermediate between those of luminous starbursts and broad absorption line quasars, which suggests that feedback from an AGN may have <font color = red>playe</font> a role in expelling cool gas and shutting down star formation. ",0.001194596290588379,0.00221097469329834,0,0,0,528,"Failed"
"  A generalized geometric method is developed for constructing exact solutions of gravitational field equations in Einstein theory and generalizations. First, we apply the formalism of <font color = red>nonholonomic</font> frame deformations (formally considered for nonholonomic manifolds and Finsler spaces) when the gravitational field equations transform into systems of nonlinear partial differential equations which can be integrated in general form. The new classes of solutions are defined by generic off-diagonal metrics depending on integration functions on one, two and three (or three and four) variables if we consider four (or five) dimensional <font color = red>spacetimes</font>. Second, we <font color = red>use</font> a general scheme when one (two) parameter families of exact solutions are defined by any source-free solutions of <font color = red>Einstein's</font> equations with one (two) Killing vector <font color = red>field</font>(s). A successive iteration procedure results in new classes of solutions characterized by an infinite number of parameters for a <font color = red>non-Abelian</font> group involving arbitrary functions on one variable. <font color = red>Five</font> classes of exact off-diagonal solutions are constructed in vacuum <font color = red>Einstein</font> and in string gravity describing solitonic <font color = red>pp-wave</font> interactions. We explore possible physical consequences of such solutions derived from primary Schwarzschild or pp-wave metrics. ","  A generalized geometric method is developed for constructing exact solutions of gravitational field equations in Einstein theory and generalizations. First, we apply the formalism of <font color = red>nonhjlonomic</font> frame deformations (formally considered for nonholonomic manifolds and Finsler spaces) when the gravitational field equations transform into systems of nonlinear partial differential equations which can be integrated in general form. The new classes of solutions are defined by generic off-diagonal metrics depending on integration functions on one, two and three (or three and four) variables if we consider four (or five) dimensional <font color = red>sacetimes</font>. Second, we <font color = red>sue</font> a general scheme when one (two) parameter families of exact solutions are defined by any source-free solutions of <font color = red>EinsteinAs</font> equations with one (two) Killing vector <font color = red>ifield</font>(s). A successive iteration procedure results in new classes of solutions characterized by an infinite number of parameters for a <font color = red>non-AbTelian</font> group involving arbitrary functions on one variable. <font color = red>Fiev</font> classes of exact off-diagonal solutions are constructed in vacuum <font color = red>Eiastein</font> and in string gravity describing solitonic <font color = red>p-pwave</font> interactions. We explore possible physical consequences of such solutions derived from primary Schwarzschild or pp-wave metrics. ",0.00021702051162719727,0.0002326369285583496,0,0,0,609,"Failed"
"  The optimization of the pressure angle in a cam-follower transmission is reported in this paper. This transmission is based on <font color = red>Slide-o-Cam</font>, a cam mechanism with multiple rollers <font color = red>mounted</font> on a common translating follower. The design of Slide-o-Cam, a transmission intended to produce a <font color = red>sliding</font> motion from a turning <font color = red>drive</font>, or vice versa, was reported elsewhere. This transmission provides pure-rolling motion, thereby reducing the friction of rack-and-pinions and linear drives. The pressure angle is a suitable performance index for this transmission because it determines the amount of force transmitted to the <font color = red>load</font> vs. that transmitted to the machine frame. Two alternative design strategies are studied, namely, (i) increase the number of lobes on each <font color = red>cam</font> or (<font color = red>ii</font>) increase the number of <font color = red>cams</font>. This device is intended to replace the current ball-screws in Orthoglide, a three-DOF parallel robot for the production of <font color = red>translational</font> motions, currently under development at Ecole <font color = red>Centrale</font> de <font color = red>Nantes</font> for machining applications. ","  The optimization of the pressure angle in a cam-follower transmission is reported in this paper. This transmission is based on <font color = red>Slideso-Cam</font>, a cam mechanism with multiple rollers <font color = red>mouned</font> on a common translating follower. The design of Slide-o-Cam, a transmission intended to produce a <font color = red>silding</font> motion from a turning <font color = red>dive</font>, or vice versa, was reported elsewhere. This transmission provides pure-rolling motion, thereby reducing the friction of rack-and-pinions and linear drives. The pressure angle is a suitable performance index for this transmission because it determines the amount of force transmitted to the <font color = red>locd</font> vs. that transmitted to the machine frame. Two alternative design strategies are studied, namely, (i) increase the number of lobes on each <font color = red>caLm</font> or (<font color = red>i</font>) increase the number of <font color = red>wams</font>. This device is intended to replace the current ball-screws in Orthoglide, a three-DOF parallel robot for the production of <font color = red>transational</font> motions, currently under development at Ecole <font color = red>Centralz</font> de <font color = red>Nanets</font> for machining applications. ",0.00170820951461792,0.0020073652267456055,0,0,0,475,"Failed"
"  <font color = red>Spitzer</font> observations of extended dust in two optically normal elliptical galaxies provide a new confirmation of buoyant feedback <font color = red>outflow</font> in the hot gas atmospheres around these galaxies. <font color = red>AGN</font> feedback energy is required to prevent wholesale cooling and star formation in these group-centered galaxies. In NGC 5044 we observe <font color = red>interstellar</font> (<font color = red>presumably</font> <font color = red>PAH</font>) emission at 8 <font color = red>microns</font> out to about 5 kpc. Both NGC <font color = red>5044</font> and 4636 have extended <font color = red>70</font> microns emission from cold dust exceeding that expected from stellar mass loss. The sputtering lifetime of this extended dust in the ~1keV interstellar <font color = red>gas</font>, ~<font color = red>10</font>^7 yrs, establishes the time when the dust first entered the <font color = red>hot</font> gas. Evidently the extended dust originated in dusty disks or clouds, commonly observed in elliptical galaxy cores, that were disrupted, heated and buoyantly transported outward. The surviving <font color = red>central</font> dust in NGC <font color = red>5044</font> and <font color = red>4636</font> has been <font color = red>disrupted</font> into many small filaments. It is remarkable that the asymmetrically extended 8 micron emission in NGC 5044 is spatially coincident with Halpha+[<font color = red>NII</font>] emission from warm gas. A calculation shows that dust-assisted cooling in buoyant hot gas moving out from the galactic core can cool within a few <font color = red>kpc</font> in about ~10^7 <font color = red>yrs</font>, explaining the <font color = red>optical</font> line emission observed. The X-ray images of both galaxies are disturbed. All timescales for transient activity - restoration of equilibrium and buoyant transport in the hot gas, dynamics of surviving <font color = red>dust</font> fragments, and <font color = red>dust</font> sputtering - are consistent with a central release of feedback energy in both galaxies about <font color = red>10</font>^7 yrs <font color = red>ago</font>. ","  <font color = red>SJitzer</font> observations of extended dust in two optically normal elliptical galaxies provide a new confirmation of buoyant feedback <font color = red>otflow</font> in the hot gas atmospheres around these galaxies. <font color = red>GAN</font> feedback energy is required to prevent wholesale cooling and star formation in these group-centered galaxies. In NGC 5044 we observe <font color = red>intrstellar</font> (<font color = red>Bresumably</font> <font color = red>APH</font>) emission at 8 <font color = red>mirons</font> out to about 5 kpc. Both NGC <font color = red>504</font> and 4636 have extended <font color = red>0</font> microns emission from cold dust exceeding that expected from stellar mass loss. The sputtering lifetime of this extended dust in the ~1keV interstellar <font color = red>gap</font>, ~<font color = red>f10</font>^7 yrs, establishes the time when the dust first entered the <font color = red>hUt</font> gas. Evidently the extended dust originated in dusty disks or clouds, commonly observed in elliptical galaxy cores, that were disrupted, heated and buoyantly transported outward. The surviving <font color = red>centarl</font> dust in NGC <font color = red>5404</font> and <font color = red>46y36</font> has been <font color = red>dirupted</font> into many small filaments. It is remarkable that the asymmetrically extended 8 micron emission in NGC 5044 is spatially coincident with Halpha+[<font color = red>NI</font>] emission from warm gas. A calculation shows that dust-assisted cooling in buoyant hot gas moving out from the galactic core can cool within a few <font color = red>kpkc</font> in about ~10^7 <font color = red>ys</font>, explaining the <font color = red>optiacl</font> line emission observed. The X-ray images of both galaxies are disturbed. All timescales for transient activity - restoration of equilibrium and buoyant transport in the hot gas, dynamics of surviving <font color = red>Edust</font> fragments, and <font color = red>dusm</font> sputtering - are consistent with a central release of feedback energy in both galaxies about <font color = red>0</font>^7 yrs <font color = red>aog</font>. ",0.00022667646408081055,0.00025409460067749023,0,0,0,602,"Failed"
"  We present ACS/<font color = red>HST</font> coronagraphic observations of HD <font color = red>100546</font>, a <font color = red>B9</font>.5 star, <font color = red>103</font> <font color = red>pc</font> away from the sun, taken in the F435W, F606W, and F814W bands. Scattered light is detected up to <font color = red>14''</font> from the star. The observations are consistent with the presence of an extended flattened nebula with the same inclination as the inner disk. The <font color = red>well-known</font> ``spiral arms'' are clearly observed and they trail the rotating disk material. Weaker <font color = red>arms</font> never before reported are also seen. The inter-arm space becomes brighter, but the structures become more neutral in color at longer wavelengths, which is not consistent with models that assume that they are due to the effects of a warped disk. Along the major disk axis, the colors of the scattered-light relative to the star are \Delta (F435W-F606W) ~ 0.0--0.2 mags and \Delta (F435W-F814W)~0.5--1 mags. To explain these colors, we explore the role of asymmetric scattering, reddening, and large minimum sizes on ISM-like grains. We conclude each of these hypotheses by itself cannot explain the colors. The disk colors are similar to those derived for Kuiper Belt objects, suggesting that the same processes responsible for their <font color = red>colors</font> may be at work here. <font color = red>We</font> argue that we are <font color = red>observing</font> only the <font color = red>geometrically</font> thick, optically <font color = red>thin</font> envelope of the disk, while the <font color = red>optically</font> thick disk responsible for the <font color = red>far-IR</font> emission is undetected. The observed spiral <font color = red>arms</font> are then <font color = red>structures</font> on this envelope. The colors indicate that the extended nebulosity is not a remnant of the infalling envelope but reprocessed disk material. ","  We present ACS/<font color = red>uST</font> coronagraphic observations of HD <font color = red>10546</font>, a <font color = red>9B</font>.5 star, <font color = red>130</font> <font color = red>cp</font> away from the sun, taken in the F435W, F606W, and F814W bands. Scattered light is detected up to <font color = red>14'</font> from the star. The observations are consistent with the presence of an extended flattened nebula with the same inclination as the inner disk. The <font color = red>well-knwn</font> ``spiral arms'' are clearly observed and they trail the rotating disk material. Weaker <font color = red>rams</font> never before reported are also seen. The inter-arm space becomes brighter, but the structures become more neutral in color at longer wavelengths, which is not consistent with models that assume that they are due to the effects of a warped disk. Along the major disk axis, the colors of the scattered-light relative to the star are \Delta (F435W-F606W) ~ 0.0--0.2 mags and \Delta (F435W-F814W)~0.5--1 mags. To explain these colors, we explore the role of asymmetric scattering, reddening, and large minimum sizes on ISM-like grains. We conclude each of these hypotheses by itself cannot explain the colors. The disk colors are similar to those derived for Kuiper Belt objects, suggesting that the same processes responsible for their <font color = red>cFlors</font> may be at work here. <font color = red>zWe</font> argue that we are <font color = red>osberving</font> only the <font color = red>geomertically</font> thick, optically <font color = red>tin</font> envelope of the disk, while the <font color = red>opticyally</font> thick disk responsible for the <font color = red>farFIR</font> emission is undetected. The observed spiral <font color = red>rams</font> are then <font color = red>strunctures</font> on this envelope. The colors indicate that the extended nebulosity is not a remnant of the infalling envelope but reprocessed disk material. ",0.0011807084083557129,0.0014775395393371582,0,0,0,745,"Failed"
"  We report on detections of the high-excitation CO J=6-5, J=<font color = red>4-3</font> lines in Mrk231, a <font color = red>prototypical</font> Ultra Luminous Infrared Galaxy (<font color = red>ULIRG</font>) and Seyfert 1 QSO. <font color = red>These</font> observations are combined with CO J=<font color = red>3-2</font>, HCN J=<font color = red>4-3</font> (this work), and <font color = red>CO</font> J=2-1, J=1-0, 13CO J=2-1, <font color = red>HCN</font> J=1-0 measurements taken from the literature to provide better constraints on the properties of the molecular gas in an extreme starburst/QSO in the local Universe. <font color = red>We</font> find that the CO J=<font color = red>4-3</font> and J=6-5 transitions trace a different gas phase from that dominating the lower <font color = red>three</font> CO transitions, with n(<font color = red>H_2</font>) ~ (1-3)x10^4 cm-3 and <font color = red>Tk</font> ~ (<font color = red>40-70</font>) K. This phase is responsible for the luminous HCN emission, and contains most of the H2 <font color = red>gas</font> mass of this galaxy. The total CO line cooling emanating from this dense phase is found similar to that of the [CII] line at 158 micron, suggesting a very different thermal balance to that seen in lower IR-luminosity galaxies, and one likely dominated by dense photon-dominated regions. Our dense ""sampling"" of the <font color = red>CO</font> <font color = red>rotational</font> ladder and the HCN lines enables us to produce well-constrained Spectral Line Energy Distributions (SLEDs) for the dense molecular gas in Mrk231 and compare them to those of high redshift starbursts, many of which have SLEDs that may be affected by strong lensing. Finally, we use our <font color = red>local</font> molecular line excitation template to assess the capabilities of future <font color = red>cm</font> and <font color = red>mm</font>/<font color = red>sub-mm</font> arrays in detecting CO and HCN transitions in similar systems throughout the local and distant universe. ","  We report on detections of the high-excitation CO J=6-5, J=<font color = red>4C3</font> lines in Mrk231, a <font color = red>prtotypical</font> Ultra Luminous Infrared Galaxy (<font color = red>ULIHRG</font>) and Seyfert 1 QSO. <font color = red>aThese</font> observations are combined with CO J=-<font color = red>32</font>, HCN J=<font color = red>43-</font> (this work), and <font color = red>OC</font> J=2-1, J=1-0, 13CO J=2-1, <font color = red>HN</font> J=1-0 measurements taken from the literature to provide better constraints on the properties of the molecular gas in an extreme starburst/QSO in the local Universe. <font color = red>eW</font> find that the CO J=<font color = red>43-</font> and J=6-5 transitions trace a different gas phase from that dominating the lower <font color = red>thJee</font> CO transitions, with n(<font color = red>H_</font>) ~ (1-3)x10^4 cm-3 and <font color = red>kT</font> ~ (<font color = red>40-0</font>) K. This phase is responsible for the luminous HCN emission, and contains most of the H2 <font color = red>Vas</font> mass of this galaxy. The total CO line cooling emanating from this dense phase is found similar to that of the [CII] line at 158 micron, suggesting a very different thermal balance to that seen in lower IR-luminosity galaxies, and one likely dominated by dense photon-dominated regions. Our dense ""sampling"" of the <font color = red>OC</font> <font color = red>rotationl</font> ladder and the HCN lines enables us to produce well-constrained Spectral Line Energy Distributions (SLEDs) for the dense molecular gas in Mrk231 and compare them to those of high redshift starbursts, many of which have SLEDs that may be affected by strong lensing. Finally, we use our <font color = red>Hocal</font> molecular line excitation template to assess the capabilities of future <font color = red>mc</font> and <font color = red>m</font>/<font color = red>submm</font> arrays in detecting CO and HCN transitions in similar systems throughout the local and distant universe. ",0.0015553832054138184,0.0023542046546936035,0,0,0,768,"Failed"
