"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"  We address the problem of constructing high-accuracy, faithful analytic waveforms describing the gravitational wave signal emitted by inspiralling and coalescing binary <font color = red>black</font> holes. We work within the Effective-One-Body (EOB) framework and propose a methodology for improving the current (waveform)implementations of this framework based on understanding, element by element, the physics behind each feature of the waveform, and on systematically comparing various EOB-based waveforms with ``exact'' waveforms obtained by numerical relativity approaches. The <font color = red>present</font> paper focuses on small-mass-ratio non-spinning binary systems, which can be conveniently studied by Regge-Wheeler-Zerilli-type methods. Our results include: (i) a resummed, 3PN-accurate description of the inspiral waveform, (ii) a better description of radiation reaction during the plunge, (iii) a refined analytic expression for the plunge waveform, (iv) an improved <font color = red>treatment</font> of the <font color = red>matching</font> between the plunge and ring-down waveforms. This improved implementation of the EOB approach allows us to <font color = red>construct</font> <font color = red>complete</font> analytic waveforms which exhibit a remarkable <font color = red>agreement</font> with the ``exact'' ones in modulus, frequency and phase. In particular, the analytic and numerical waveforms stay in phase, during the <font color = red>whole</font> process, within $\<font color = red>pm</font> 1.1 %$ of a cycle. We expect that the extension of our methodology to the comparable-mass <font color = red>case</font> will be able to <font color = red>generate</font> comparably accurate analytic waveforms of direct use for the ground-based network of interferometric detectors of gravitational waves. ","  We address the problem of constructing high-accuracy, faithful analytic waveforms describing the gravitational wave signal emitted by inspiralling and coalescing binary <font color = red>Negro</font> holes. We work within the Effective-One-Body (EOB) framework and propose a methodology for improving the current (waveform)implementations of this framework based on understanding, element by element, the physics behind each feature of the waveform, and on systematically comparing various EOB-based waveforms with ``exact'' waveforms obtained by numerical relativity approaches. The <font color = red>acquaint</font> paper focuses on small-mass-ratio non-spinning binary systems, which can be conveniently studied by Regge-Wheeler-Zerilli-type methods. Our results include: (i) a resummed, 3PN-accurate description of the inspiral waveform, (ii) a better description of radiation reaction during the plunge, (iii) a refined analytic expression for the plunge waveform, (iv) an improved <font color = red>discussion</font> of the <font color = red>oppose</font> between the plunge and ring-down waveforms. This improved implementation of the EOB approach allows us to <font color = red>build</font> <font color = red>stark</font> analytic waveforms which exhibit a remarkable <font color = red>understanding</font> with the ``exact'' ones in modulus, frequency and phase. In particular, the analytic and numerical waveforms stay in phase, during the <font color = red>hale</font> process, within $\<font color = red>Pm</font> 1.1 %$ of a cycle. We expect that the extension of our methodology to the comparable-mass <font color = red>event</font> will be able to <font color = red>give</font> comparably accurate analytic waveforms of direct use for the ground-based network of interferometric detectors of gravitational waves. ",0.00037407875061035156,0.0007042884826660156,0,0,0,1194,"Failed"
"  We propose a pairing-based method for <font color = red>cooling</font> an atomic Fermi gas. A <font color = red>three</font> component (labels 1, 2, 3) mixture of Fermions is considered where the components 1 and 2 interact and, for instance, form pairs whereas the component 3 is in the normal state. For cooling, the components 2 and 3 are coupled by an electromagnetic field. Since the quasiparticle distributions in the paired and in the normal states are different, the coupling leads to cooling of the normal state even when initially $T_{<font color = red>paired</font>}\geq T_{normal}$ (notation $T_S\geq T_N$). The cooling efficiency is <font color = red>given</font> by the pairing energy and by the linewidth of the coupling field. No superfluidity is required: any type of pairing, or other phenomenon that produces a suitable spectral density, is sufficient. In principle, the paired state could be cooled as <font color = red>well</font> but this requires $T_N<T_S$. The method has a conceptual analogy to cooling based on superconductor -- <font color = red>normal</font> metal (SN) tunneling junctions. Main differences arise from the <font color = red>exact</font> momentum conservation in the case of the field-matter coupling vs. non-conservation of momentum in the solid <font color = red>state</font> tunneling process. Moreover, the role of processes that relax the <font color = red>energy</font> conservation requirement in the tunneling, e.g. thermal fluctuations of an external reservoir, is now played by the linewidth of the <font color = red>field</font>. The proposed method should be experimentally feasible due to its <font color = red>close</font> connection to RF-spectroscopy of ultracold <font color = red>gases</font> which is already in use. ","  We propose a pairing-based method for <font color = red>chilling</font> an atomic Fermi gas. A <font color = red>terzetto</font> component (labels 1, 2, 3) mixture of Fermions is considered where the components 1 and 2 interact and, for instance, form pairs whereas the component 3 is in the normal state. For cooling, the components 2 and 3 are coupled by an electromagnetic field. Since the quasiparticle distributions in the paired and in the normal states are different, the coupling leads to cooling of the normal state even when initially $T_{<font color = red>mate</font>}\geq T_{normal}$ (notation $T_S\geq T_N$). The cooling efficiency is <font color = red>granted</font> by the pairing energy and by the linewidth of the coupling field. No superfluidity is required: any type of pairing, or other phenomenon that produces a suitable spectral density, is sufficient. In principle, the paired state could be cooled as <font color = red>wellspring</font> but this requires $T_N<T_S$. The method has a conceptual analogy to cooling based on superconductor -- <font color = red>formula</font> metal (SN) tunneling junctions. Main differences arise from the <font color = red>precise</font> momentum conservation in the case of the field-matter coupling vs. non-conservation of momentum in the solid <font color = red>posit</font> tunneling process. Moreover, the role of processes that relax the <font color = red>DOE</font> conservation requirement in the tunneling, e.g. thermal fluctuations of an external reservoir, is now played by the linewidth of the <font color = red>study</font>. The proposed method should be experimentally feasible due to its <font color = red>secretive</font> connection to RF-spectroscopy of ultracold <font color = red>boast</font> which is already in use. ",0.0002440810203552246,0.000296175479888916,0,0,0,1303,"Failed"
"  <font color = red>Energetic</font> feedback processes during the formation of galaxy clusters may have heated and ionized a <font color = red>large</font> fraction of the intergalactic gas in proto-cluster regions. When such a highly ionized hot ``super-bubble'' falls along the sightline to a background quasar, it would be seen as a <font color = red>large</font> void, with little or no absorption, in the Lyman alpha forest. We examine the spectra of 137 quasars in the Sloan Digital <font color = red>Sky</font> Survey, to search for such voids, and find no <font color = red>clear</font> evidence of their <font color = red>existence</font>. The size distribution of voids in the range 5-70 Angstrom (corresponding to physical sizes of approximately 3-35 comoving Mpc/h) is consistent with the standard model for the Lyman alpha forest without additional hot bubbles. We adapt a physical model for HII bubble growth during cosmological reionization (Furlanetto, Zaldarriaga and Hernquist 2004), to describe the expected size-distribution of hot super-bubbles at redshift around z = <font color = red>3</font>. This model incorporates the conjoining of bubbles around individual neighboring galaxies. Using the non-detection of <font color = red>voids</font>, we <font color = red>find</font> that models in which the volume <font color = red>filling</font> factor of hot bubbles exceeds approximately 20 percent at z=3 can be ruled out, primarily because they overproduce the number of large (40-50 Angstrom) voids. We conclude that any pre-heating mechanism that explains galaxy cluster observations must avoid heating the low-density gas in the proto-cluster regions, either by operating relatively <font color = red>recently</font> (z<3) or by <font color = red>depositing</font> entropy in the high-density regions. ","  <font color = red>up-and-coming</font> feedback processes during the formation of galaxy clusters may have heated and ionized a <font color = red>prominent</font> fraction of the intergalactic gas in proto-cluster regions. When such a highly ionized hot ``super-bubble'' falls along the sightline to a background quasar, it would be seen as a <font color = red>heavy</font> void, with little or no absorption, in the Lyman alpha forest. We examine the spectra of 137 quasars in the Sloan Digital <font color = red>flip</font> Survey, to search for such voids, and find no <font color = red>authorize</font> evidence of their <font color = red>universe</font>. The size distribution of voids in the range 5-70 Angstrom (corresponding to physical sizes of approximately 3-35 comoving Mpc/h) is consistent with the standard model for the Lyman alpha forest without additional hot bubbles. We adapt a physical model for HII bubble growth during cosmological reionization (Furlanetto, Zaldarriaga and Hernquist 2004), to describe the expected size-distribution of hot super-bubbles at redshift around z = <font color = red>leash</font>. This model incorporates the conjoining of bubbles around individual neighboring galaxies. Using the non-detection of <font color = red>vacuum</font>, we <font color = red>discovery</font> that models in which the volume <font color = red>fulfil</font> factor of hot bubbles exceeds approximately 20 percent at z=3 can be ruled out, primarily because they overproduce the number of large (40-50 Angstrom) voids. We conclude that any pre-heating mechanism that explains galaxy cluster observations must avoid heating the low-density gas in the proto-cluster regions, either by operating relatively <font color = red>late</font> (z<3) or by <font color = red>wedge</font> entropy in the high-density regions. ",0.0002650618553161621,0.00037360191345214844,0,0,0,1345,"Failed"
"  Using a semi-analytical <font color = red>model</font> for galaxy formation, combined with a <font color = red>large</font> N-body simulation, we investigate the origin of the dichotomy among early-type galaxies. We find that boxy galaxies originate from mergers with a progenitor mass ratio $n < 2$ and with a combined <font color = red>cold</font> gas mass fraction $F_{\rm <font color = red>cold</font>} < 0.1$. Our <font color = red>model</font> accurately reproduces the observed fraction of boxy systems as a function of luminosity and halo mass, for both central galaxies and satellites. After correcting for the stellar mass dependence, the properties of the <font color = red>last</font> major merger of early-type galaxies are <font color = red>independent</font> of their halo mass. This provides theoretical support for the <font color = red>conjecture</font> of Pasquali et al (2007) that the stellar mass of an early-type galaxy is the main parameter that governs its isophotal shape. We argue that the observed dichotomy of early-type galaxies has a natural explanation within hierarchical structure formation, and does not require AGN feedback. <font color = red>Rather</font>, we argue that it owes to the fact that more massive systems (i) have more massive progenitors, (ii) <font color = red>assemble</font> later, and (<font color = red>iii</font>) have a <font color = red>larger</font> fraction of early-type progenitors. Each of these three trends causes the <font color = red>cold</font> gas mass fraction of the progenitors of more massive early-types to be <font color = red>lower</font>, so that their last major merger was dryer. Finally, our model predicts that (i) less than 10 percent of all early-type galaxies form in major mergers that involve two early-type progenitors, (ii) more than 95 percent of all boxy early-type galaxies with $M_* < 2 \times 10^{10} h^{-1} \Msun$ are satellite galaxies, and (iii) about 70 percent of all low mass early-types do not form a supermassive black hole binary at their <font color = red>last</font> major merger. The latter may help to explain why low mass early-types have central cusps, while their massive counterparts have cores. ","  Using a semi-analytical <font color = red>exemplary</font> for galaxy formation, combined with a <font color = red>prominent</font> N-body simulation, we investigate the origin of the dichotomy among early-type galaxies. We find that boxy galaxies originate from mergers with a progenitor mass ratio $n < 2$ and with a combined <font color = red>stale</font> gas mass fraction $F_{\rm <font color = red>moth-eaten</font>} < 0.1$. Our <font color = red>example</font> accurately reproduces the observed fraction of boxy systems as a function of luminosity and halo mass, for both central galaxies and satellites. After correcting for the stellar mass dependence, the properties of the <font color = red>go</font> major merger of early-type galaxies are <font color = red>freelance</font> of their halo mass. This provides theoretical support for the <font color = red>hypothesis</font> of Pasquali et al (2007) that the stellar mass of an early-type galaxy is the main parameter that governs its isophotal shape. We argue that the observed dichotomy of early-type galaxies has a natural explanation within hierarchical structure formation, and does not require AGN feedback. <font color = red>quite</font>, we argue that it owes to the fact that more massive systems (i) have more massive progenitors, (ii) <font color = red>gather</font> later, and (<font color = red>III</font>) have a <font color = red>gravid</font> fraction of early-type progenitors. Each of these three trends causes the <font color = red>dusty</font> gas mass fraction of the progenitors of more massive early-types to be <font color = red>frown</font>, so that their last major merger was dryer. Finally, our model predicts that (i) less than 10 percent of all early-type galaxies form in major mergers that involve two early-type progenitors, (ii) more than 95 percent of all boxy early-type galaxies with $M_* < 2 \times 10^{10} h^{-1} \Msun$ are satellite galaxies, and (iii) about 70 percent of all low mass early-types do not form a supermassive black hole binary at their <font color = red>last-place</font> major merger. The latter may help to explain why low mass early-types have central cusps, while their massive counterparts have cores. ",0.0005406737327575684,0.0011598467826843262,0,0,0,1982,"Failed"
"  Numerical simulations suggest that active galactic nuclei (AGNs) <font color = red>play</font> an <font color = red>important</font> <font color = red>role</font> in the formation of early-type galaxies by expelling gas and dust in powerful galactic winds and quenching star formation. However, the existence of AGN feedback capable of halting galaxy-wide star formation has yet to be observationally confirmed. To investigate this question, we have obtained spectra of 14 post-starburst galaxies at z~0.6 to search for evidence of galactic winds. In <font color = red>10</font>/14 galaxies we detect Mg II 2796,2803 absorption <font color = red>lines</font> which are blueshifted by 490 - 2020 km/s with respect to the stars. The median blueshift is 1140 km/s. We hypothesize that the outflowing <font color = red>gas</font> represents a fossil galactic wind launched near the peak of the galaxy's activity, a few <font color = red>100</font> Myr ago. The velocities we measure are intermediate between those of luminous starbursts and broad absorption line quasars, which <font color = red>suggests</font> that feedback from an AGN may have played a <font color = red>role</font> in expelling cool gas and shutting down star formation. ","  Numerical simulations suggest that active galactic nuclei (AGNs) <font color = red>bring</font> an <font color = red>crucial</font> <font color = red>purpose</font> in the formation of early-type galaxies by expelling gas and dust in powerful galactic winds and quenching star formation. However, the existence of AGN feedback capable of halting galaxy-wide star formation has yet to be observationally confirmed. To investigate this question, we have obtained spectra of 14 post-starburst galaxies at z~0.6 to search for evidence of galactic winds. In <font color = red>X</font>/14 galaxies we detect Mg II 2796,2803 absorption <font color = red>crinkle</font> which are blueshifted by 490 - 2020 km/s with respect to the stars. The median blueshift is 1140 km/s. We hypothesize that the outflowing <font color = red>bluster</font> represents a fossil galactic wind launched near the peak of the galaxy's activity, a few <font color = red>C</font> Myr ago. The velocities we measure are intermediate between those of luminous starbursts and broad absorption line quasars, which <font color = red>hint</font> that feedback from an AGN may have played a <font color = red>use</font> in expelling cool gas and shutting down star formation. ",0.001194596290588379,0.003587663173675537,0,0,0,1022,"Failed"
"  A generalized geometric method is developed for constructing exact solutions of gravitational field equations in Einstein theory and generalizations. First, we apply the formalism of nonholonomic frame deformations (formally considered for nonholonomic manifolds and Finsler spaces) when the gravitational field equations transform into systems of nonlinear partial differential <font color = red>equations</font> which can be integrated in general <font color = red>form</font>. The new classes of solutions are defined by generic off-diagonal metrics depending on integration functions on one, two and three (or three and four) variables if we consider <font color = red>four</font> (or five) dimensional spacetimes. <font color = red>Second</font>, we use a general scheme when one (two) parameter families of exact solutions are defined by any source-free solutions of Einstein's <font color = red>equations</font> with one (two) Killing vector field(s). A successive iteration procedure results in <font color = red>new</font> classes of solutions characterized by an infinite number of parameters for a non-Abelian group involving arbitrary functions on one variable. <font color = red>Five</font> classes of exact off-diagonal solutions are constructed in vacuum <font color = red>Einstein</font> and in string gravity <font color = red>describing</font> solitonic pp-wave interactions. We explore possible physical consequences of such solutions derived from primary Schwarzschild or pp-wave metrics. ","  A generalized geometric method is developed for constructing exact solutions of gravitational field equations in Einstein theory and generalizations. First, we apply the formalism of nonholonomic frame deformations (formally considered for nonholonomic manifolds and Finsler spaces) when the gravitational field equations transform into systems of nonlinear partial differential <font color = red>par</font> which can be integrated in general <font color = red>anatomy</font>. The new classes of solutions are defined by generic off-diagonal metrics depending on integration functions on one, two and three (or three and four) variables if we consider <font color = red>quatern</font> (or five) dimensional spacetimes. <font color = red>minute</font>, we use a general scheme when one (two) parameter families of exact solutions are defined by any source-free solutions of Einstein's <font color = red>equality</font> with one (two) Killing vector field(s). A successive iteration procedure results in <font color = red>novel</font> classes of solutions characterized by an infinite number of parameters for a non-Abelian group involving arbitrary functions on one variable. <font color = red>quint</font> classes of exact off-diagonal solutions are constructed in vacuum <font color = red>mastermind</font> and in string gravity <font color = red>delineate</font> solitonic pp-wave interactions. We explore possible physical consequences of such solutions derived from primary Schwarzschild or pp-wave metrics. ",0.00021702051162719727,0.0003097057342529297,0,0,0,1141,"Failed"
"  The optimization of the pressure angle in a cam-follower <font color = red>transmission</font> is reported in this paper. This transmission is based on Slide-o-Cam, a cam mechanism with multiple rollers mounted on a <font color = red>common</font> translating follower. The <font color = red>design</font> of Slide-o-Cam, a <font color = red>transmission</font> intended to produce a sliding motion from a turning drive, or vice versa, was reported elsewhere. This transmission provides pure-rolling <font color = red>motion</font>, thereby reducing the friction of rack-and-pinions and linear drives. The pressure angle is a <font color = red>suitable</font> performance <font color = red>index</font> for this transmission because it determines the amount of force transmitted to the <font color = red>load</font> vs. that transmitted to the machine frame. Two alternative design strategies are studied, namely, (i) increase the number of lobes on each cam or (ii) increase the number of cams. This device is intended to replace the current ball-screws in Orthoglide, a three-DOF parallel robot for the production of translational motions, currently under development at Ecole Centrale de Nantes for machining applications. ","  The optimization of the pressure angle in a cam-follower <font color = red>contagion</font> is reported in this paper. This transmission is based on Slide-o-Cam, a cam mechanism with multiple rollers mounted on a <font color = red>rough-cut</font> translating follower. The <font color = red>invention</font> of Slide-o-Cam, a <font color = red>contagion</font> intended to produce a sliding motion from a turning drive, or vice versa, was reported elsewhere. This transmission provides pure-rolling <font color = red>motility</font>, thereby reducing the friction of rack-and-pinions and linear drives. The pressure angle is a <font color = red>desirable</font> performance <font color = red>indicator</font> for this transmission because it determines the amount of force transmitted to the <font color = red>lode</font> vs. that transmitted to the machine frame. Two alternative design strategies are studied, namely, (i) increase the number of lobes on each cam or (ii) increase the number of cams. This device is intended to replace the current ball-screws in Orthoglide, a three-DOF parallel robot for the production of translational motions, currently under development at Ecole Centrale de Nantes for machining applications. ",0.00170820951461792,0.0035130977630615234,0,0,0,732,"Failed"
"  Spitzer <font color = red>observations</font> of <font color = red>extended</font> dust in two optically normal elliptical galaxies provide a <font color = red>new</font> <font color = red>confirmation</font> of buoyant feedback outflow in the hot gas atmospheres around these galaxies. AGN feedback energy is required to prevent wholesale cooling and <font color = red>star</font> formation in these group-centered galaxies. In NGC 5044 we <font color = red>observe</font> interstellar (presumably PAH) emission at 8 microns out to about 5 kpc. Both NGC 5044 and 4636 have extended 70 microns emission from cold dust exceeding that expected from stellar mass loss. The <font color = red>sputtering</font> lifetime of this extended dust in the ~1keV interstellar gas, ~10^7 yrs, establishes the time when the dust <font color = red>first</font> entered the hot gas. Evidently the extended dust originated in dusty disks or clouds, commonly observed in elliptical galaxy cores, that were disrupted, heated and buoyantly transported outward. The surviving <font color = red>central</font> dust in NGC 5044 and 4636 has been disrupted into many small filaments. It is remarkable that the asymmetrically extended 8 micron emission in NGC 5044 is spatially coincident with Halpha+[NII] emission from warm gas. A calculation shows that dust-assisted cooling in buoyant hot gas moving out from the galactic core can cool within a few kpc in about ~10^7 yrs, explaining the optical <font color = red>line</font> emission observed. The X-ray images of both galaxies are disturbed. All timescales for transient activity - restoration of equilibrium and buoyant transport in the hot gas, dynamics of surviving dust fragments, and dust <font color = red>sputtering</font> - are consistent with a <font color = red>central</font> <font color = red>release</font> of feedback energy in both galaxies about 10^7 yrs ago. ","  Spitzer <font color = red>observation</font> of <font color = red>extend</font> dust in two optically normal elliptical galaxies provide a <font color = red>novel</font> <font color = red>substantiation</font> of buoyant feedback outflow in the hot gas atmospheres around these galaxies. AGN feedback energy is required to prevent wholesale cooling and <font color = red>starring</font> formation in these group-centered galaxies. In NGC 5044 we <font color = red>discover</font> interstellar (presumably PAH) emission at 8 microns out to about 5 kpc. Both NGC 5044 and 4636 have extended 70 microns emission from cold dust exceeding that expected from stellar mass loss. The <font color = red>splattering</font> lifetime of this extended dust in the ~1keV interstellar gas, ~10^7 yrs, establishes the time when the dust <font color = red>inaugural</font> entered the hot gas. Evidently the extended dust originated in dusty disks or clouds, commonly observed in elliptical galaxy cores, that were disrupted, heated and buoyantly transported outward. The surviving <font color = red>cardinal</font> dust in NGC 5044 and 4636 has been disrupted into many small filaments. It is remarkable that the asymmetrically extended 8 micron emission in NGC 5044 is spatially coincident with Halpha+[NII] emission from warm gas. A calculation shows that dust-assisted cooling in buoyant hot gas moving out from the galactic core can cool within a few kpc in about ~10^7 yrs, explaining the optical <font color = red>melody</font> emission observed. The X-ray images of both galaxies are disturbed. All timescales for transient activity - restoration of equilibrium and buoyant transport in the hot gas, dynamics of surviving dust fragments, and dust <font color = red>splattering</font> - are consistent with a <font color = red>fundamental</font> <font color = red>issue</font> of feedback energy in both galaxies about 10^7 yrs ago. ",0.00022667646408081055,0.00027042627334594727,0,0,0,1607,"Failed"
"  We present ACS/HST coronagraphic observations of HD 100546, a B9.5 star, 103 pc away from the sun, taken in the F435W, F606W, and F814W bands. Scattered <font color = red>light</font> is detected up to 14'' from the star. The observations are consistent with the presence of an extended flattened nebula with the same inclination as the inner disk. The <font color = red>well-known</font> ``spiral arms'' are <font color = red>clearly</font> <font color = red>observed</font> and they trail the rotating <font color = red>disk</font> material. Weaker arms never before reported are also seen. The inter-arm <font color = red>space</font> becomes brighter, but the structures become more neutral in color at longer wavelengths, which is not consistent with models that assume that they are due to the effects of a <font color = red>warped</font> disk. Along the major disk axis, the colors of the scattered-light <font color = red>relative</font> to the star are \Delta (F435W-F606W) ~ 0.0--0.2 mags and \Delta (F435W-F814W)~0.5--1 mags. To explain these <font color = red>colors</font>, we explore the role of asymmetric scattering, reddening, and <font color = red>large</font> minimum sizes on ISM-like grains. We conclude each of these hypotheses by itself cannot explain the colors. The disk colors are similar to those derived for Kuiper Belt objects, <font color = red>suggesting</font> that the same processes responsible for their <font color = red>colors</font> may be at work here. We argue that we are observing only the geometrically <font color = red>thick</font>, optically thin envelope of the disk, while the optically thick disk responsible for the far-IR emission is undetected. The observed spiral arms are then structures on this envelope. The colors indicate that the extended nebulosity is not a remnant of the infalling envelope but reprocessed disk material. ","  We present ACS/HST coronagraphic observations of HD 100546, a B9.5 star, 103 pc away from the sun, taken in the F435W, F606W, and F814W bands. Scattered <font color = red>brightness</font> is detected up to 14'' from the star. The observations are consistent with the presence of an extended flattened nebula with the same inclination as the inner disk. The <font color = red>long-familiar</font> ``spiral arms'' are <font color = red>clear</font> <font color = red>remark</font> and they trail the rotating <font color = red>record</font> material. Weaker arms never before reported are also seen. The inter-arm <font color = red>distance</font> becomes brighter, but the structures become more neutral in color at longer wavelengths, which is not consistent with models that assume that they are due to the effects of a <font color = red>warp</font> disk. Along the major disk axis, the colors of the scattered-light <font color = red>relation</font> to the star are \Delta (F435W-F606W) ~ 0.0--0.2 mags and \Delta (F435W-F814W)~0.5--1 mags. To explain these <font color = red>distort</font>, we explore the role of asymmetric scattering, reddening, and <font color = red>heavy</font> minimum sizes on ISM-like grains. We conclude each of these hypotheses by itself cannot explain the colors. The disk colors are similar to those derived for Kuiper Belt objects, <font color = red>hint</font> that the same processes responsible for their <font color = red>vividness</font> may be at work here. We argue that we are observing only the geometrically <font color = red>dense</font>, optically thin envelope of the disk, while the optically thick disk responsible for the far-IR emission is undetected. The observed spiral arms are then structures on this envelope. The colors indicate that the extended nebulosity is not a remnant of the infalling envelope but reprocessed disk material. ",0.0011807084083557129,0.001800537109375,0,0,0,1436,"Failed"
"  We report on detections of the high-excitation CO J=6-5, J=4-3 <font color = red>lines</font> in Mrk231, a prototypical Ultra Luminous Infrared Galaxy (ULIRG) and Seyfert 1 QSO. These observations are combined with CO J=3-2, HCN J=4-3 (this <font color = red>work</font>), and CO <font color = red>J</font>=2-1, J=1-0, 13CO <font color = red>J</font>=2-1, HCN J=1-0 measurements taken from the literature to provide <font color = red>better</font> constraints on the properties of the molecular gas in an extreme starburst/QSO in the local Universe. We <font color = red>find</font> that the CO J=4-3 and J=6-5 transitions <font color = red>trace</font> a different gas phase from that dominating the lower <font color = red>three</font> CO transitions, with n(H_2) ~ (1-3)x10^4 cm-3 and Tk ~ (40-70) <font color = red>K</font>. This phase is responsible for the luminous HCN emission, and contains most of the H2 <font color = red>gas</font> mass of this galaxy. The total CO <font color = red>line</font> cooling emanating from this dense phase is found similar to that of the [CII] line at 158 micron, suggesting a very different thermal balance to that seen in lower IR-luminosity galaxies, and one likely dominated by dense photon-dominated regions. Our dense ""sampling"" of the CO rotational ladder and the HCN lines enables us to produce well-constrained Spectral Line Energy Distributions (SLEDs) for the dense molecular gas in Mrk231 and compare them to those of high redshift starbursts, many of which have SLEDs that may be affected by strong lensing. Finally, we use our local molecular line excitation template to assess the capabilities of future <font color = red>cm</font> and <font color = red>mm</font>/sub-mm arrays in detecting CO and HCN transitions in similar systems throughout the local and distant universe. ","  We report on detections of the high-excitation CO J=6-5, J=4-3 <font color = red>line</font> in Mrk231, a prototypical Ultra Luminous Infrared Galaxy (ULIRG) and Seyfert 1 QSO. These observations are combined with CO J=3-2, HCN J=4-3 (this <font color = red>study</font>), and CO <font color = red>j</font>=2-1, J=1-0, 13CO <font color = red>j</font>=2-1, HCN J=1-0 measurements taken from the literature to provide <font color = red>beneficial</font> constraints on the properties of the molecular gas in an extreme starburst/QSO in the local Universe. We <font color = red>discover</font> that the CO J=4-3 and J=6-5 transitions <font color = red>describe</font> a different gas phase from that dominating the lower <font color = red>III</font> CO transitions, with n(H_2) ~ (1-3)x10^4 cm-3 and Tk ~ (40-70) <font color = red>kelvin</font>. This phase is responsible for the luminous HCN emission, and contains most of the H2 <font color = red>boast</font> mass of this galaxy. The total CO <font color = red>lineage</font> cooling emanating from this dense phase is found similar to that of the [CII] line at 158 micron, suggesting a very different thermal balance to that seen in lower IR-luminosity galaxies, and one likely dominated by dense photon-dominated regions. Our dense ""sampling"" of the CO rotational ladder and the HCN lines enables us to produce well-constrained Spectral Line Energy Distributions (SLEDs) for the dense molecular gas in Mrk231 and compare them to those of high redshift starbursts, many of which have SLEDs that may be affected by strong lensing. Finally, we use our local molecular line excitation template to assess the capabilities of future <font color = red>curium</font> and <font color = red>millimeter</font>/sub-mm arrays in detecting CO and HCN transitions in similar systems throughout the local and distant universe. ",0.0015553832054138184,0.0033503174781799316,0,0,0,1758,"Failed"
