test_data,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity,percentage,percentageValue
Test results,0.7833333333333333,0.8256704980842912,0.7183333333333334,0.768270944741533,0.7183333333333334,0.8483333333333334,1% (19),19
Evaluation for llama3_abstract_without,0.955,0.9212962962962963,0.995,0.9567307692307692,0.995,0.915,1% (19),19
Evaluation for cohere_abstract_without,0.7833333333333333,0.8256704980842912,0.7183333333333334,0.768270944741533,0.7183333333333334,0.8483333333333334,1% (19),19
Evaluation for davinci_abstract_without,0.7525,0.8123711340206186,0.6566666666666666,0.7262672811059908,0.6566666666666666,0.8483333333333334,1% (19),19
Evaluation for flant5_abstract_without,0.8791666666666667,0.8571428571428571,0.91,0.8827809215844786,0.91,0.8483333333333334,1% (19),19
Evaluation for llama3_ml_without,0.8325,0.7554417413572343,0.9833333333333333,0.8544532947139754,0.9833333333333333,0.6816666666666666,1% (19),19
Evaluation for bloomz_wiki_without,0.5266666666666666,0.6230769230769231,0.135,0.2219178082191781,0.135,0.9183333333333333,1% (19),19
Evaluation for chatgpt_wiki_without,0.8948247078464107,0.9028960817717206,0.8848080133555927,0.893760539629005,0.8848080133555927,0.9048414023372288,1% (19),19
Evaluation for cohere_wiki_without,0.7713675213675214,0.8547486033519553,0.6538461538461539,0.7409200968523003,0.6538461538461539,0.8888888888888888,1% (19),19
Evaluation for davinci_wiki_without,0.7858333333333334,0.8688172043010752,0.6733333333333333,0.7586854460093898,0.6733333333333333,0.8983333333333333,1% (19),19
Evaluation for bloomz_abstract_without,0.6208333333333333,0.7217125382262997,0.3933333333333333,0.5091693635382956,0.3933333333333333,0.8483333333333334,1% (19),19
Validation results,0.7875,0.823943661971831,0.73125,0.7748344370860927,0.73125,0.84375,1% (19),19
Evaluation for chatgpt_abstract_without,0.9233333333333333,0.8681159420289855,0.9983333333333333,0.9286821705426356,0.9983333333333333,0.8483333333333334,1% (19),19
Evaluation for cohere_wiki_without,0.7510683760683761,0.9065743944636678,0.5598290598290598,0.69220607661823,0.5598290598290598,0.9423076923076923,2% (38),38
Test results,0.8558333333333333,0.9113680154142582,0.7883333333333333,0.8453976764968721,0.7883333333333333,0.9233333333333333,2% (38),38
Evaluation for chatgpt_wiki_without,0.8781302170283807,0.9202226345083488,0.8280467445742905,0.8717047451669596,0.8280467445742905,0.9282136894824707,2% (38),38
Evaluation for bloomz_wiki_without,0.6091666666666666,0.758893280632411,0.32,0.4501758499413834,0.32,0.8983333333333333,2% (38),38
Evaluation for llama3_ml_without,0.7241666666666666,0.6717752234993615,0.8766666666666667,0.7606652205350688,0.8766666666666667,0.5716666666666667,2% (38),38
Evaluation for flant5_abstract_without,0.9325,0.9247135842880524,0.9416666666666667,0.9331131296449215,0.9416666666666667,0.9233333333333333,2% (38),38
Evaluation for davinci_abstract_without,0.7858333333333334,0.8720173535791758,0.67,0.7577756833176249,0.67,0.9016666666666666,2% (38),38
Evaluation for cohere_abstract_without,0.8558333333333333,0.9113680154142582,0.7883333333333333,0.8453976764968721,0.7883333333333333,0.9233333333333333,2% (38),38
Evaluation for llama3_abstract_without,0.9616666666666667,0.9301242236024845,0.9983333333333333,0.9630225080385852,0.9983333333333333,0.925,2% (38),38
Evaluation for bloomz_abstract_without,0.6458333333333334,0.8277153558052435,0.36833333333333335,0.5098039215686275,0.36833333333333335,0.9233333333333333,2% (38),38
Evaluation for chatgpt_abstract_without,0.9608333333333333,0.9286821705426357,0.9983333333333333,0.9622489959839358,0.9983333333333333,0.9233333333333333,2% (38),38
Evaluation for davinci_wiki_without,0.7725,0.8958837772397095,0.6166666666666667,0.7305034550839091,0.6166666666666667,0.9283333333333333,2% (38),38
Validation results,0.8458333333333333,0.9009661835748792,0.7770833333333333,0.8344519015659955,0.7770833333333333,0.9145833333333333,2% (38),38
Validation results,0.8958333333333334,0.9260089686098655,0.8604166666666667,0.8920086393088553,0.8604166666666667,0.93125,4% (76),76
Test results,0.9083333333333333,0.9359430604982206,0.8766666666666667,0.9053356282271945,0.8766666666666667,0.94,4% (76),76
Evaluation for chatgpt_abstract_without,0.9691666666666666,0.9433070866141732,0.9983333333333333,0.9700404858299594,0.9983333333333333,0.94,4% (76),76
Evaluation for bloomz_abstract_without,0.6341666666666667,0.8454935622317596,0.3283333333333333,0.4729891956782713,0.3283333333333333,0.94,4% (76),76
Evaluation for llama3_abstract_without,0.9741666666666666,0.9537480063795853,0.9966666666666667,0.9747351263243684,0.9966666666666667,0.9516666666666667,4% (76),76
Evaluation for cohere_abstract_without,0.9083333333333333,0.9359430604982206,0.8766666666666667,0.9053356282271945,0.8766666666666667,0.94,4% (76),76
Evaluation for davinci_wiki_without,0.7733333333333333,0.9739884393063584,0.5616666666666666,0.7124735729386892,0.5616666666666666,0.985,4% (76),76
Evaluation for flant5_abstract_without,0.9325,0.9390862944162437,0.925,0.9319899244332494,0.925,0.94,4% (76),76
Evaluation for llama3_ml_without,0.6858333333333333,0.6449934980494149,0.8266666666666667,0.7246165084002921,0.8266666666666667,0.545,4% (76),76
Evaluation for bloomz_wiki_without,0.5875,0.9487179487179487,0.185,0.30962343096234307,0.185,0.99,4% (76),76
Evaluation for chatgpt_wiki_without,0.8973288814691152,0.9703557312252964,0.8196994991652755,0.8886877828054299,0.8196994991652755,0.9749582637729549,4% (76),76
Evaluation for cohere_wiki_without,0.7670940170940171,0.9562043795620438,0.5598290598290598,0.706199460916442,0.5598290598290598,0.9743589743589743,4% (76),76
Evaluation for davinci_abstract_without,0.8116666666666666,0.9118942731277533,0.69,0.7855787476280834,0.69,0.9333333333333333,4% (76),76
Evaluation for davinci_wiki_without,0.6533333333333333,0.9220183486238532,0.335,0.49144254278728605,0.335,0.9716666666666667,8% (153),153
Evaluation for cohere_wiki_without,0.7478632478632479,0.964,0.5149572649572649,0.6713091922005571,0.5149572649572649,0.9807692307692307,8% (153),153
Evaluation for chatgpt_wiki_without,0.7904841402337228,0.9554973821989529,0.6093489148580968,0.744138634046891,0.6093489148580968,0.9716193656093489,8% (153),153
Evaluation for bloomz_wiki_without,0.7116666666666667,0.8871951219512195,0.485,0.6271551724137931,0.485,0.9383333333333334,8% (153),153
Evaluation for llama3_ml_without,0.5925,0.574496644295302,0.7133333333333334,0.6364312267657993,0.7133333333333334,0.4716666666666667,8% (153),153
Evaluation for cohere_abstract_without,0.9366666666666666,0.9596491228070175,0.9116666666666666,0.935042735042735,0.9116666666666666,0.9616666666666667,8% (153),153
Evaluation for davinci_abstract_without,0.8166666666666667,0.9502369668246445,0.6683333333333333,0.7847358121330724,0.6683333333333333,0.965,8% (153),153
Evaluation for llama3_abstract_without,0.99,0.9803921568627451,1.0,0.99009900990099,1.0,0.98,8% (153),153
Evaluation for bloomz_abstract_without,0.6475,0.8968609865470852,0.3333333333333333,0.48602673147023084,0.3333333333333333,0.9616666666666667,8% (153),153
Evaluation for chatgpt_abstract_without,0.9791666666666666,0.9629629629629629,0.9966666666666667,0.9795249795249795,0.9966666666666667,0.9616666666666667,8% (153),153
Validation results,0.9354166666666667,0.9583333333333334,0.9104166666666667,0.9337606837606838,0.9104166666666667,0.9604166666666667,8% (153),153
Evaluation for flant5_abstract_without,0.9716666666666667,0.9624183006535948,0.9816666666666667,0.9719471947194721,0.9816666666666667,0.9616666666666667,8% (153),153
Test results,0.9366666666666666,0.9596491228070175,0.9116666666666666,0.935042735042735,0.9116666666666666,0.9616666666666667,8% (153),153
Validation results,0.940625,0.9689578713968958,0.9104166666666667,0.9387755102040817,0.9104166666666667,0.9708333333333333,10% (192),192
Evaluation for davinci_wiki_without,0.5716666666666667,0.9574468085106383,0.15,0.25936599423631124,0.15,0.9933333333333333,10% (192),192
Evaluation for cohere_wiki_without,0.6388888888888888,0.9779411764705882,0.2841880341880342,0.44039735099337746,0.2841880341880342,0.9935897435897436,10% (192),192
