test_data,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity,percentage,percentageValue
Evaluation for cohere_abstract_without,0.6541666666666667,0.5933400605449042,0.98,0.7391577624135763,0.98,0.3283333333333333,1% (19),19
Evaluation for bloomz_abstract_without,0.6366666666666667,0.5845360824742268,0.945,0.7222929936305733,0.945,0.3283333333333333,1% (19),19
Evaluation for llama3_abstract_without,0.6508333333333334,0.5891625615763547,0.9966666666666667,0.7405572755417957,0.9966666666666667,0.305,1% (19),19
Validation results,0.6416666666666667,0.5883116883116883,0.94375,0.7248,0.94375,0.33958333333333335,1% (19),19
Evaluation for davinci_abstract_without,0.6391666666666667,0.5854657113613101,0.9533333333333334,0.7254280279010779,0.9533333333333334,0.325,1% (19),19
Evaluation for flant5_abstract_without,0.6416666666666667,0.5870901639344263,0.955,0.7271573604060914,0.955,0.3283333333333333,1% (19),19
Evaluation for llama3_ml_without,0.555,0.5291005291005291,1.0,0.6920415224913494,1.0,0.11,1% (19),19
Evaluation for bloomz_wiki_without,0.5283333333333333,0.5180467091295117,0.8133333333333334,0.6329442282749675,0.8133333333333334,0.24333333333333335,1% (19),19
Evaluation for chatgpt_wiki_without,0.6752921535893155,0.6069246435845214,0.994991652754591,0.7539531941808981,0.994991652754591,0.3555926544240401,1% (19),19
Evaluation for cohere_wiki_without,0.6730769230769231,0.6068601583113457,0.9829059829059829,0.7504078303425774,0.9829059829059829,0.36324786324786323,1% (19),19
Evaluation for davinci_wiki_without,0.6625,0.5981873111782477,0.99,0.7457627118644069,0.99,0.335,1% (19),19
Test results,0.6366666666666667,0.5845360824742268,0.945,0.7222929936305733,0.945,0.3283333333333333,1% (19),19
Evaluation for chatgpt_abstract_without,0.6641666666666667,0.5982053838484547,1.0,0.7485963817841548,1.0,0.3283333333333333,1% (19),19
Evaluation for cohere_wiki_without,0.7478632478632479,0.672106824925816,0.967948717948718,0.7933450087565674,0.967948717948718,0.5277777777777778,2% (38),38
Evaluation for chatgpt_wiki_without,0.7679465776293823,0.6842709529276694,0.994991652754591,0.8108843537414966,0.994991652754591,0.5409015025041736,2% (38),38
Evaluation for bloomz_wiki_without,0.6133333333333333,0.5874035989717223,0.7616666666666667,0.6632801161103048,0.7616666666666667,0.465,2% (38),38
Evaluation for llama3_ml_without,0.5941666666666666,0.5519779208831647,1.0,0.7113218731475992,1.0,0.18833333333333332,2% (38),38
Evaluation for flant5_abstract_without,0.7316666666666667,0.6686893203883495,0.9183333333333333,0.7738764044943821,0.9183333333333333,0.545,2% (38),38
Evaluation for davinci_abstract_without,0.7358333333333333,0.6744759556103576,0.9116666666666666,0.7753366406803684,0.9116666666666666,0.56,2% (38),38
Evaluation for cohere_abstract_without,0.7341666666666666,0.6698911729141476,0.9233333333333333,0.7764540995094604,0.9233333333333333,0.545,2% (38),38
Evaluation for llama3_abstract_without,0.7891666666666667,0.7043580683156655,0.9966666666666667,0.8253968253968255,0.9966666666666667,0.5816666666666667,2% (38),38
Evaluation for bloomz_abstract_without,0.7183333333333334,0.6621287128712872,0.8916666666666667,0.7599431818181818,0.8916666666666667,0.545,2% (38),38
Evaluation for chatgpt_abstract_without,0.7725,0.6872852233676976,1.0,0.814663951120163,1.0,0.545,2% (38),38
Evaluation for davinci_wiki_without,0.7533333333333333,0.6735159817351598,0.9833333333333333,0.7994579945799457,0.9833333333333333,0.5233333333333333,2% (38),38
Validation results,0.734375,0.6755070202808112,0.9020833333333333,0.7725245316681535,0.9020833333333333,0.5666666666666667,2% (38),38
