no_sentence,num_words,character0,character1,character2_3,character4,character5,std_dev,sent_len_diff,count_short_sentences_in_paragraphs,count_long_sentences_in_paragraphs,check_word0,check_word1,check_word2_3,check_word3,check_word4,check_word5,check_num,check_capitals,check_et
0.3125,0.5457627118644067,1.0,1.0,1.0,0.0,0.0,0.23224156430648146,0.22857142857142856,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6875,0.7322033898305084,1.0,1.0,1.0,0.0,0.0,0.108328203085996,0.16,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.4375,0.735593220338983,1.0,1.0,0.0,0.0,0.0,0.13534439320766706,0.18285714285714286,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5625,0.9423728813559321,1.0,1.0,0.0,0.0,0.0,0.21306378169983128,0.32,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.375,0.4915254237288135,1.0,1.0,0.0,0.0,1.0,0.13135073035076905,0.11428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.375,0.5525423728813559,1.0,1.0,0.0,0.0,1.0,0.13584613940606338,0.12,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.375,0.464406779661017,1.0,1.0,0.0,0.0,0.0,0.09597649360793627,0.08,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.625,0.7762711864406779,1.0,1.0,0.0,0.0,0.0,0.12255204034070687,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.75,0.7830508474576271,1.0,1.0,0.0,0.0,0.0,0.1214185686475008,0.1657142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3125,0.7661016949152541,1.0,1.0,0.0,0.0,1.0,0.1515707321610617,0.12571428571428572,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5625,0.7152542372881355,1.0,1.0,0.0,0.0,0.0,0.0950118812505507,0.10857142857142857,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.5,0.5898305084745762,1.0,1.0,0.0,0.0,1.0,0.08721234817388294,0.12,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.4375,0.4983050847457627,1.0,1.0,1.0,0.0,0.0,0.10862791749808026,0.11428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1875,0.4610169491525424,1.0,1.0,1.0,0.0,0.0,0.18400918978991204,0.12571428571428572,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.1875,0.27796610169491526,1.0,0.0,0.0,0.0,0.0,0.10344678224681285,0.06857142857142857,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.8125,0.9288135593220338,1.0,1.0,1.0,0.0,1.0,0.14010008474666433,0.13142857142857142,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4375,0.6881355932203389,1.0,1.0,1.0,0.0,0.0,0.24274570314658347,0.24,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.1875,0.5559322033898304,0.0,1.0,0.0,0.0,1.0,0.020735486621345504,0.017142857142857144,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.5,0.5525423728813559,1.0,1.0,0.0,0.0,1.0,0.10292091388523802,0.10285714285714286,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.375,0.5762711864406779,1.0,1.0,1.0,0.0,0.0,0.15808336954753008,0.14285714285714285,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.625,0.7762711864406779,1.0,1.0,0.0,0.0,1.0,0.11940597601483173,0.15428571428571428,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.625,0.6305084745762711,1.0,1.0,1.0,0.0,0.0,0.10317161668178752,0.10857142857142857,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5625,0.8949152542372881,1.0,1.0,0.0,0.0,1.0,0.148660569213203,0.14285714285714285,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,0.5762711864406779,1.0,1.0,0.0,0.0,0.0,0.11243997000444622,0.12,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3125,0.43050847457627117,1.0,1.0,0.0,0.0,0.0,0.10489900612952598,0.09714285714285714,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.647457627118644,1.0,1.0,1.0,0.0,0.0,0.09731261596337203,0.07428571428571429,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
