text,truth,prediction,Status
"We describe our software package Block Locally Optimal Preconditioned Eigenvalue Xolvers (BLOPEX) publicly released recently. BLOPEX is available as a stand-alone serial library, as an external package to PETSc (“Portable, Extensible Toolkit for Scientific Computation”, a general purpose suite of tools for the scalable solution of partial differential equations and related problems developed by Argonne National Laboratory), and is also built into hypre (“High Performance Preconditioners”, scalable linear solvers package developed by Lawrence Livermore National Laboratory). The present BLOPEX release includes only one solver–the Locally Optimal Block Preconditioned Conjugate Gradient (LOBPCG) method for symmetric eigenvalue problems. hypre provides users with advanced high-quality parallel preconditioners for linear systems, in particular, with domain decomposition and multigrid preconditioners. With BLOPEX, the same preconditioners can now be efficiently used for symmetric eigenvalue problems. PETSc facilitates the integration of independently developed application modules with strict attention to component interoperability, and makes BLOPEX extremely easy to compile and use with preconditioners that are available via PETSc. We present the LOBPCG algorithm in BLOPEX for hypre and PETSc. We demonstrate numerically the scalability of BLOPEX by testing it on a number of distributed and shared memory parallel systems, including a Beowulf system, SUN Fire 880, an AMD dual-core Opteron workstation, and IBM BlueGene/L supercomputer, using PETSc domain decomposition and hypre multigrid preconditioning. We test BLOPEX on a model problem, the standard 7-point finite-difference approximation of the 3-D Laplacian, with the problem size in the range 10^5-10^8. ",0,1,Misclassified
"The first challenge in the formation of both terrestrial planets and the cores of gas giants is the retention of grains in protoplanetary disks. In most regions of these disks, gas attains sub-Keplerian speeds as a consequence of a negative pressure gradient. Hydrodynamic drag leads to orbital decay and depletion of the solid material in the disk, with characteristic timescales as short as only a few hundred years for meter-sized objects at 1 AU. In this paper, we suggest a particle retention mechanism which promotes the accumulation of grains and the formation of planetesimals near the water sublimation front or “snow line.” This model is based on the assumption that, in the regions most interesting for planet formation, the viscous evolution of the disk is due to turbulence driven by the magneto-rotational instability (MRI) in the surface layers of the disk. The depth to which MRI effectively generates turbulence is a strong function of the grain size and abundance. A sharp increase in the grain-to-gas density ratio across the snow line reduces the column depth of the active layer. As the disk evolves towards a quasi-steady-state, this change in the active layer creates a local maximum in radial distribution of the gas surface density and pressure, causing the gas to rotate at super-Keplerian speed and halting the inward migration of grains. This senario presents a robust process for grain retention which may aid in the formation of proto-gas-giant cores preferentially near the snow line. ",0,1,Misclassified
"Ongoing accretion onto galactic disks has been recently theorized to progress via the unstable cooling of the baryonic halo into condensed clouds. These clouds have been identified as analogous to the High-Velocity Clouds (HVCs) observed in HI in our Galaxy. Here we compare the distribution of HVCs observed around our own Galaxy and extra-planar gas around the Andromeda galaxy to these possible HVC analogs in a simulation of galaxy formation that naturally generates these condensed clouds. We find a very good correspondence between these observations and the simulation, in terms of number, angular size, velocity distribution, overall flux and flux distribution of the clouds. We show that condensed cloud accretion only accounts for0.2 M_solar / year of the current overall Galactic accretion in the simulations. We also find that the simulated halo clouds accelerate and become more massive as they fall toward the disk. The parameter space of the simulated clouds is consistent with all of the observed HVC complexes that have distance constraints, except the Magellanic Stream which is known to have a different origin. We also find that nearly half of these simulated halo clouds would be indistinguishable from lower-velocity gas and that this effect is strongest further from the disk of the galaxy, thus indicating a possible missing population of HVCs. These results indicate that the majority of HVCs are consistent with being infalling, condensed clouds that are a remnant of Galaxy formation. ",0,1,Misclassified
"The power spectral density (PSD) function is commonly used to specify seismometer performance. It is derived from the FFT of acceleration and correction is made for the transfer function of the instrument that generated the data. As with any such spectrum of density (`per Hz') type, the noise inherent to a PSD is large. This article illustrates the value of a function that is derived from the PSD and for which the influence of noise is significantly reduced. Called the cumulative spectral power (CSP), it is obtained from the PSD through the noise-reducing process of integration. The maximum of the CSP (corresponding to the longest graphed value of the period) provides a means for estimating the total vibrational power of the earth. The present author has significantly simplified the process of PSD generation. Thus routine graphing is straightforwared-of first the FFT, followed by the generation of both a PSD and its associated CSP. The unique properties of the CSP make it valuable for the study of a variety of earth dynamics. For example, the strking simplicity of a CSP graph generated from a record containing a strong teleseismic earthquake is undoubtedly important to the development and refinement of any viable theory of earthquake dynamics. ",0,1,Misclassified
"Modifications to quark and antiquark fragmentation functions due to quark-quark (antiquark) double scattering in nuclear medium are studied systematically up to order O(α_s^2)in deeply inelastic scattering (DIS) off nuclear targets. At the orderO(α_s^2), twist-four contributions from quark-quark (antiquark) rescattering also exhibit the Landau-Pomeranchuck-Midgal (LPM) interference feature similar to gluon bremsstrahlung induced by multiple parton scattering. Compared to quark-gluon scattering, the modification, which is dominated byt-channel quark-quark (antiquark) scattering, is only smaller by a factor ofC_F/C_A=4/9times the ratio of quark and gluon distributions in the medium. Such a modification is not negligible for realistic kinematics and finite medium size. The modifications to quark (antiquark) fragmentation functions from quark-antiquark annihilation processes are shown to be determined by the antiquark (quark) distribution density in the medium. The asymmetry in quark and antiquark distributions in nuclei will lead to different modifications of quark and antiquark fragmentation functions inside a nucleus, which qualitatively explains the experimentally observed flavor dependence of the leading hadron suppression in semi-inclusive DIS off nuclear targets. The quark-antiquark annihilation processes also mix quark and gluon fragmentation functions in the large fractional momentum region, leading to a flavor dependence of jet quenching in heavy-ion collisions.",0,1,Misclassified
This paper presents a hybrid approach to spatial indexing of two dimensional data. It sheds new light on the age old problem by thinking of the traditional algorithms as working with images. Inspiration is drawn from an analogous situation that is found in machine and human vision. Image processing techniques are used to assist in the spatial indexing of the data. A fixed grid approach is used and bins with too many records are sub-divided hierarchically. Search queries are pre-computed for bins that do not contain any data records. This has the effect of dividing the search space up into non rectangular regions which are based on the spatial properties of the data. The bucketing quad tree can be considered as an image with a resolution of two by two for each layer. The results show that this method performs better than the quad tree if there are more divisions per layer. This confirms our suspicions that the algorithm works better if it gets to look at the data with higher resolution images. An elegant class structure is developed where the implementation of concrete spatial indexes for a particular data type merely relies on rendering the data onto an image. ,0,1,Misclassified
"Fifteen years ago, a structural analysis of the hormone insulin and the retinoblastoma tumor suppressor protein (RB) revealed that they may physically interact with one another. Subsequently, an RB peptide corresponding to the proposed RB binding site for insulin was found to recognize full-length insulin in vitro. As part of efforts aimed at developing this RB peptide into an anti-cancer drug, this molecule was chemically coupled to a cellular internalization signal and termed 'MCR peptide'. Meanwhile, several such MCR peptide variants have been demonstrated to restrain the proliferation of different human cancer cells in vitro and in vivo. Moreover, one of the MCR peptides coined MCR-10 was shown to be capable of interfering with the complex formation between insulin and RB in HepG2 human hepatoma cells, as monitored by immunofluorescence. This latter result indicating an in vivo association between insulin and RB was confirmed by a follow-up study combining the methods of co-immunoprecipitation and immunoblotting. Here, we provide evidence for the existence of the insulin-RB complex in A549 human non-small cell lung cancer cells. Specifically, we demonstrate this heterodimer by means of a magnetic beads-based immunoprecipitation approach and equally show that this dimer can be disrupted by MCR-4 or MCR-10 each of which is known to possess antiproliferative properties, yet to a much lesser extent by a control peptide. Thus, this investigation has yielded another important proof for the occurrence of the insulin-RB dimer and, furthermore, its validity as a target for antineoplastic MCR peptides. ",0,1,Misclassified
"The mean curvature flow describes the parabolic deformation of embedded branes in Riemannian geometry driven by their extrinsic mean curvature vector, which is typically associated to surface tension forces. It is the gradient flow of the area functional, and, as such, it is naturally identified with the boundary renormalization group equation of Dirichlet sigma models away from conformality, to lowest order in perturbation theory. D-branes appear as fixed points of this flow having conformally invariant boundary conditions. Simple running solutions include the paper-clip and the hair-pin (or grim-reaper) models on the plane, as well as scaling solutions associated to rational (p, q) closed curves and the decay of two intersecting lines. Stability analysis is performed in several cases while searching for transitions among different brane configurations. The combination of Ricci with the mean curvature flow is examined in detail together with several explicit examples of deforming curves on curved backgrounds. Some general aspects of the mean curvature flow in higher dimensional ambient spaces are also discussed and obtain consistent truncations to lower dimensional systems. Selected physical applications are mentioned in the text, including tachyon condensation in open string theory and the resistive diffusion of force-free fields in magneto-hydrodynamics. ",0,1,Misclassified
"Based on the fact that the underpotential electrochemical deposition of Ag atoms on the Au(100) surface exhibits sharp first-order phase transitions at well-defined values of the (coexistence) chemical potential (μ_coex), we performed extensive simulations aimed at investigating the hysteretic dynamic behavior of the system close to coexistence upon the application of a periodic signal of the form μ(t) = μ_coex + μ_osin(2Π t/τ), where μ_o and τ are the amplitude and the period of the sweep, respectively. For relatively short periods and small enough amplitudes the system becomes trapped either at low or high Ag coverage states, as evidenced by recording hysteresis loops. This scenario is identified as dynamically ordered states (DOS), such that the relaxation time (τ_relax) of the corresponding metastable state obeys τ_relax > τ. On the other hand, by properly increasing μ_o or/and τ, one finds that the Ag coverage gently follows the external drive (here τ_relax < τ) and the system is said to enter into dynamically disordered states (DDS), where hysteresis loops show almost symmetric limiting cycles. This symmetry breaking between limiting cycles driven by an external signal is discussed in terms of the concept of (out-of-equilibrium) Dynamic Phase Transitions between DOS and DDS, similar to those encountered when a magnetic system is placed in the presence of a variable external magnetic field. However, a careful finite-size scaling study reveals that, at least at T = 300K, the Ag/Au(100) system does not exhibit true second-order phase transitions but rather a crossover behavior between states. A diagram showing the location of the ordered and disordered states in the μ versus τ plane is obtained and discussed. ",0,1,Misclassified
"Using Rossi X-ray Timing Explorer Seyfert 1 and 1.2 data spanning 9 years, we study correlations between X-ray spectral features. The sample consists of 350 time-resolved spectra from 12 Seyfert 1 and 1.2 galaxies. Each spectrum is fitted to a model with an intrinsic powerlaw X-ray spectrum produced close to the central black hole that is reprocessed and absorbed by material around the black hole. To test the robustness of our results, we performed Monte Carlo simulations of the spectral sample. We find a complex relationship between the iron line equivalent width (EW) and the underlying power law index (Gamma). The data reveal a correlation between Gamma and EW which turns over at Gamma <2, but finds a weak anti-correlation for steeper photon indices. We propose that this relationship is driven by dilution of a disk spectrum (which includes the narrow iron line) by a beamed jet component and, hence, could be used as a diagnostic of jet-dominance. In addition, our sample shows a strong correlation between the reflection fraction (R) and Gamma, but we find that it is likely the result of modeling degeneracies. We also see the X-ray Baldwin effect (an anti-correlation between the 2-10 keV X-ray luminosity and EW) for the sample as a whole, but not for the individual galaxies and galaxy types. ",0,1,Misclassified
