text,truth,prediction
"We address the problem of constructing high-accuracy, faithful analytic waveforms describing the gravitational wave signal emitted by inspiralling and coalescing binary black holes. We work within the Effective-One-Body (EOB) framework and propose a methodology for improving the current (waveform)implementations of this framework based on understanding, element by element, the physics behind each feature of the waveform, and on systematically comparing various EOB-based waveforms with “exact” waveforms obtained by numerical relativity approaches. The present paper focuses on small-mass-ratio non-spinning binary systems, which can be conveniently studied by Regge-Wheeler-Zerilli-type methods. Our results include: (i) a resummed, 3PN-accurate description of the inspiral waveform, (ii) a better description of radiation reaction during the plunge, (iii) a refined analytic expression for the plunge waveform, (iv) an improved treatment of the matching between the plunge and ring-down waveforms. This improved implementation of the EOB approach allows us to construct complete analytic waveforms which exhibit a remarkable agreement with the “exact” ones in modulus, frequency and phase. In particular, the analytic and numerical waveforms stay in phase, during the whole process, within ± 1.1",0,0
"We propose a pairing-based method for cooling an atomic Fermi gas. A three component (labels 1, 2, 3) mixture of Fermions is considered where the components 1 and 2 interact and, for instance, form pairs whereas the component 3 is in the normal state. For cooling, the components 2 and 3 are coupled by an electromagnetic field. Since the quasiparticle distributions in the paired and in the normal states are different, the coupling leads to cooling of the normal state even when initially T_paired≥ T_normal (notation T_S≥ T_N). The cooling efficiency is given by the pairing energy and by the linewidth of the coupling field. No superfluidity is required: any type of pairing, or other phenomenon that produces a suitable spectral density, is sufficient. In principle, the paired state could be cooled as well but this requires T_N<T_S. The method has a conceptual analogy to cooling based on superconductor – normal metal (SN) tunneling junctions. Main differences arise from the exact momentum conservation in the case of the field-matter coupling vs. non-conservation of momentum in the solid state tunneling process. Moreover, the role of processes that relax the energy conservation requirement in the tunneling, e.g. thermal fluctuations of an external reservoir, is now played by the linewidth of the field. The proposed method should be experimentally feasible due to its close connection to RF-spectroscopy of ultracold gases which is already in use. ",0,0
"Energetic feedback processes during the formation of galaxy clusters may have heated and ionized a large fraction of the intergalactic gas in proto-cluster regions. When such a highly ionized hot “super-bubble” falls along the sightline to a background quasar, it would be seen as a large void, with little or no absorption, in the Lyman alpha forest. We examine the spectra of 137 quasars in the Sloan Digital Sky Survey, to search for such voids, and find no clear evidence of their existence. The size distribution of voids in the range 5-70 Angstrom (corresponding to physical sizes of approximately 3-35 comoving Mpc/h) is consistent with the standard model for the Lyman alpha forest without additional hot bubbles. We adapt a physical model for HII bubble growth during cosmological reionization (Furlanetto, Zaldarriaga and Hernquist 2004), to describe the expected size-distribution of hot super-bubbles at redshift around z = 3. This model incorporates the conjoining of bubbles around individual neighboring galaxies. Using the non-detection of voids, we find that models in which the volume filling factor of hot bubbles exceeds approximately 20 percent at z=3 can be ruled out, primarily because they overproduce the number of large (40-50 Angstrom) voids. We conclude that any pre-heating mechanism that explains galaxy cluster observations must avoid heating the low-density gas in the proto-cluster regions, either by operating relatively recently (z<3) or by depositing entropy in the high-density regions. ",0,0
"Using a semi-analytical model for galaxy formation, combined with a large N-body simulation, we investigate the origin of the dichotomy among early-type galaxies. We find that boxy galaxies originate from mergers with a progenitor mass ratio n < 2 and with a combined cold gas mass fraction F_ cold < 0.1. Our model accurately reproduces the observed fraction of boxy systems as a function of luminosity and halo mass, for both central galaxies and satellites. After correcting for the stellar mass dependence, the properties of the last major merger of early-type galaxies are independent of their halo mass. This provides theoretical support for the conjecture of Pasquali et al (2007) that the stellar mass of an early-type galaxy is the main parameter that governs its isophotal shape. We argue that the observed dichotomy of early-type galaxies has a natural explanation within hierarchical structure formation, and does not require AGN feedback. Rather, we argue that it owes to the fact that more massive systems (i) have more massive progenitors, (ii) assemble later, and (iii) have a larger fraction of early-type progenitors. Each of these three trends causes the cold gas mass fraction of the progenitors of more massive early-types to be lower, so that their last major merger was dryer. Finally, our model predicts that (i) less than 10 percent of all early-type galaxies form in major mergers that involve two early-type progenitors, (ii) more than 95 percent of all boxy early-type galaxies with M_* < 2 × 10^10 h^-1 are satellite galaxies, and (iii) about 70 percent of all low mass early-types do not form a supermassive black hole binary at their last major merger. The latter may help to explain why low mass early-types have central cusps, while their massive counterparts have cores. ",0,0
"Numerical simulations suggest that active galactic nuclei (AGNs) play an important role in the formation of early-type galaxies by expelling gas and dust in powerful galactic winds and quenching star formation. However, the existence of AGN feedback capable of halting galaxy-wide star formation has yet to be observationally confirmed. To investigate this question, we have obtained spectra of 14 post-starburst galaxies at z 0.6 to search for evidence of galactic winds. In 10/14 galaxies we detect Mg II 2796,2803 absorption lines which are blueshifted by 490 - 2020 km/s with respect to the stars. The median blueshift is 1140 km/s. We hypothesize that the outflowing gas represents a fossil galactic wind launched near the peak of the galaxy's activity, a few 100 Myr ago. The velocities we measure are intermediate between those of luminous starbursts and broad absorption line quasars, which suggests that feedback from an AGN may have played a role in expelling cool gas and shutting down star formation. ",0,0
"A generalized geometric method is developed for constructing exact solutions of gravitational field equations in Einstein theory and generalizations. First, we apply the formalism of nonholonomic frame deformations (formally considered for nonholonomic manifolds and Finsler spaces) when the gravitational field equations transform into systems of nonlinear partial differential equations which can be integrated in general form. The new classes of solutions are defined by generic off-diagonal metrics depending on integration functions on one, two and three (or three and four) variables if we consider four (or five) dimensional spacetimes. Second, we use a general scheme when one (two) parameter families of exact solutions are defined by any source-free solutions of Einstein's equations with one (two) Killing vector field(s). A successive iteration procedure results in new classes of solutions characterized by an infinite number of parameters for a non-Abelian group involving arbitrary functions on one variable. Five classes of exact off-diagonal solutions are constructed in vacuum Einstein and in string gravity describing solitonic pp-wave interactions. We explore possible physical consequences of such solutions derived from primary Schwarzschild or pp-wave metrics. ",0,0
"The optimization of the pressure angle in a cam-follower transmission is reported in this paper. This transmission is based on Slide-o-Cam, a cam mechanism with multiple rollers mounted on a common translating follower. The design of Slide-o-Cam, a transmission intended to produce a sliding motion from a turning drive, or vice versa, was reported elsewhere. This transmission provides pure-rolling motion, thereby reducing the friction of rack-and-pinions and linear drives. The pressure angle is a suitable performance index for this transmission because it determines the amount of force transmitted to the load vs. that transmitted to the machine frame. Two alternative design strategies are studied, namely, (i) increase the number of lobes on each cam or (ii) increase the number of cams. This device is intended to replace the current ball-screws in Orthoglide, a three-DOF parallel robot for the production of translational motions, currently under development at Ecole Centrale de Nantes for machining applications. ",0,0
"Spitzer observations of extended dust in two optically normal elliptical galaxies provide a new confirmation of buoyant feedback outflow in the hot gas atmospheres around these galaxies. AGN feedback energy is required to prevent wholesale cooling and star formation in these group-centered galaxies. In NGC 5044 we observe interstellar (presumably PAH) emission at 8 microns out to about 5 kpc. Both NGC 5044 and 4636 have extended 70 microns emission from cold dust exceeding that expected from stellar mass loss. The sputtering lifetime of this extended dust in the1keV interstellar gas,10^7 yrs, establishes the time when the dust first entered the hot gas. Evidently the extended dust originated in dusty disks or clouds, commonly observed in elliptical galaxy cores, that were disrupted, heated and buoyantly transported outward. The surviving central dust in NGC 5044 and 4636 has been disrupted into many small filaments. It is remarkable that the asymmetrically extended 8 micron emission in NGC 5044 is spatially coincident with Halpha+[NII] emission from warm gas. A calculation shows that dust-assisted cooling in buoyant hot gas moving out from the galactic core can cool within a few kpc in about10^7 yrs, explaining the optical line emission observed. The X-ray images of both galaxies are disturbed. All timescales for transient activity - restoration of equilibrium and buoyant transport in the hot gas, dynamics of surviving dust fragments, and dust sputtering - are consistent with a central release of feedback energy in both galaxies about 10^7 yrs ago. ",0,0
"We present ACS/HST coronagraphic observations of HD 100546, a B9.5 star, 103 pc away from the sun, taken in the F435W, F606W, and F814W bands. Scattered light is detected up to 14” from the star. The observations are consistent with the presence of an extended flattened nebula with the same inclination as the inner disk. The well-known “spiral arms” are clearly observed and they trail the rotating disk material. Weaker arms never before reported are also seen. The inter-arm space becomes brighter, but the structures become more neutral in color at longer wavelengths, which is not consistent with models that assume that they are due to the effects of a warped disk. Along the major disk axis, the colors of the scattered-light relative to the star are Δ(F435W-F606W)0.0–0.2 mags and Δ(F435W-F814W) 0.5–1 mags. To explain these colors, we explore the role of asymmetric scattering, reddening, and large minimum sizes on ISM-like grains. We conclude each of these hypotheses by itself cannot explain the colors. The disk colors are similar to those derived for Kuiper Belt objects, suggesting that the same processes responsible for their colors may be at work here. We argue that we are observing only the geometrically thick, optically thin envelope of the disk, while the optically thick disk responsible for the far-IR emission is undetected. The observed spiral arms are then structures on this envelope. The colors indicate that the extended nebulosity is not a remnant of the infalling envelope but reprocessed disk material. ",0,0
"We report on detections of the high-excitation CO J=6-5, J=4-3 lines in Mrk231, a prototypical Ultra Luminous Infrared Galaxy (ULIRG) and Seyfert 1 QSO. These observations are combined with CO J=3-2, HCN J=4-3 (this work), and CO J=2-1, J=1-0, 13CO J=2-1, HCN J=1-0 measurements taken from the literature to provide better constraints on the properties of the molecular gas in an extreme starburst/QSO in the local Universe. We find that the CO J=4-3 and J=6-5 transitions trace a different gas phase from that dominating the lower three CO transitions, with n(H_2)(1-3)x10^4 cm-3 and Tk(40-70) K. This phase is responsible for the luminous HCN emission, and contains most of the H2 gas mass of this galaxy. The total CO line cooling emanating from this dense phase is found similar to that of the [CII] line at 158 micron, suggesting a very different thermal balance to that seen in lower IR-luminosity galaxies, and one likely dominated by dense photon-dominated regions. Our dense 'sampling' of the CO rotational ladder and the HCN lines enables us to produce well-constrained Spectral Line Energy Distributions (SLEDs) for the dense molecular gas in Mrk231 and compare them to those of high redshift starbursts, many of which have SLEDs that may be affected by strong lensing. Finally, we use our local molecular line excitation template to assess the capabilities of future cm and mm/sub-mm arrays in detecting CO and HCN transitions in similar systems throughout the local and distant universe. ",0,0
