text,truth,prediction
"We show that the jet structure of gamma-ray bursts (GRBs) can be investigated with the tail emission of the prompt GRB. The tail emission which we consider is identified as a steep-decay component of the early X-ray afterglow observed by the X-ray Telescope onboard Swift. Using a Monte Carlo method, we derive, for the first time, the distribution of the decay index of the GRB tail emission for various jet models. The new definitions of the zero of time and the time interval of a fitting region are proposed. These definitions for fitting the light curve lead us an unique definition of the decay index, which is useful to investigate the structure of the GRB jet. We find that if the GRB jet has a core-envelope structure, the predicted distribution of the decay index of the tail has a wide scatter and has multiple peaks, which cannot be seen for the case of the uniform and the Gaussian jet. Therefore, the decay index distribution tells us the information on the jet structure. Especially, if we observe events whose decay index is less than about 2, both the uniform and the Gaussian jet models will be disfavored according to our simulation study. ",0,1
"Arguments showing that exchange-only optimized effective potential (xOEP) methods, with finite basis sets, cannot in general yield the Hartree-Fock (HF) ground state energy, but a higher one, are given. While the orbital products of a complete basis are linearly dependent, the HF ground state energy can only be obtained via a basis set xOEP scheme in the special case that all products of occupied and unoccupied orbitals emerging from the employed orbital basis set are linearly independent from each other. In this case, however, exchange potentials leading to the HF ground state energy exhibit unphysical oscillations and do not represent a Kohn-Sham (KS) exchange potential. These findings solve the seemingly paradoxical results of Staroverov, Scuseria and Davidson that certain finite basis set xOEP calculations lead to the HF ground state energy despite the fact that within a real space (or complete basis) representation the xOEP ground state energy is always higher than the HF energy. Moreover, whether or not the occupied and unoccupied orbital products are linearly independent, it is shown that basis set xOEP methods only represent exact exchange-only (EXX) KS methods, i.e., proper density-functional methods, if the orbital basis set and the auxiliary basis set representing the exchange potential are balanced to each other, i.e., if the orbital basis is comprehensive enough for a given auxiliary basis. Otherwise xOEP methods do not represent EXX KS methods and yield unphysical exchange potentials. ",0,1
"We describe our software package Block Locally Optimal Preconditioned Eigenvalue Xolvers (BLOPEX) publicly released recently. BLOPEX is available as a stand-alone serial library, as an external package to PETSc (“Portable, Extensible Toolkit for Scientific Computation”, a general purpose suite of tools for the scalable solution of partial differential equations and related problems developed by Argonne National Laboratory), and is also built into hypre (“High Performance Preconditioners”, scalable linear solvers package developed by Lawrence Livermore National Laboratory). The present BLOPEX release includes only one solver–the Locally Optimal Block Preconditioned Conjugate Gradient (LOBPCG) method for symmetric eigenvalue problems. hypre provides users with advanced high-quality parallel preconditioners for linear systems, in particular, with domain decomposition and multigrid preconditioners. With BLOPEX, the same preconditioners can now be efficiently used for symmetric eigenvalue problems. PETSc facilitates the integration of independently developed application modules with strict attention to component interoperability, and makes BLOPEX extremely easy to compile and use with preconditioners that are available via PETSc. We present the LOBPCG algorithm in BLOPEX for hypre and PETSc. We demonstrate numerically the scalability of BLOPEX by testing it on a number of distributed and shared memory parallel systems, including a Beowulf system, SUN Fire 880, an AMD dual-core Opteron workstation, and IBM BlueGene/L supercomputer, using PETSc domain decomposition and hypre multigrid preconditioning. We test BLOPEX on a model problem, the standard 7-point finite-difference approximation of the 3-D Laplacian, with the problem size in the range 10^5-10^8. ",0,1
"We analyze the observations of the transient X-ray pulsar 4U 0115+63 with the RXTE and INTEGRAL observatories in a wide X-ray (3-100 keV) energy band during its intense outbursts in 1999 and 2004. The energy of the fundamental harmonic of the cyclotron resonance absorption line near the maximum of the X-ray flux from the source (luminosity range 5x10^37 - 2x10^38 erg/s) is11 keV. When the pulsar luminosity falls below5x10^37 erg/s, the energy of the fundamental harmonic is displaced sharply toward the high energies, up to16 keV. Under the assumption of a dipole magnetic field configuration, this change in cyclotron harmonic energy corresponds to a decrease in the height of the emitting region by2 km, while other spectral parameters, in particular, the cutoff energy, remain essentially constant. At a luminosity7x10^37 erg/s, four almost equidistant cyclotron line harmonics are clearly seen in the spectrum. This suggests that either the region where the emission originates is compact or the emergent spectrum from different (in height) segments of the accretion column is uniform. We have found significant pulse profile variations with energy, luminosity, and time. In particular, we show that the profile variations from pulse to pulse are not reduced to a simple modulation of the accretion rate specified by external conditions. ",0,1
"We make use of new near and mid-IR photometry of the Pleiades cluster in order to help identify proposed cluster members. We also use the new photometry with previously published photometry to define the single-star main sequence locus at the age of the Pleiades in a variety of color-magnitude planes.The new near and mid-IR photometry extend effectively two magnitudes deeper than the 2MASS All-Sky Point Source catalog, and hence allow us to select a new set of candidate very low mass and sub-stellar mass members of the Pleiades in the central square degree of the cluster. We identify 42 new candidate members fainter than Ks =14 (corresponding to 0.1 Mo). These candidate members should eventually allow a better estimate of the cluster mass function to be made down to of order 0.04 solar masses.We also use new IRAC data, in particular the images obtained at 8 um, in order to comment briefly on interstellar dust in and near the Pleiades. We confirm, as expected, that – with one exception – a sample of low mass stars recently identified as having 24 um excesses due to debris disks do not have significant excesses at IRAC wavelengths. However, evidence is also presented that several of the Pleiades high mass stars are found to be impacting with local condensations of the molecular cloud that is passing through the Pleiades at the current epoch. ",0,1
"We consider the extension of the supersymmetric Pati-Salam model which solves the b-quark mass problem of supersymmetric grand unified models with exact Yukawa unification and universal boundary conditions and leads to the so-called new shifted hybrid inflationary scenario. We show that this model can also lead to a new version of smooth hybrid inflation based only on renormalizable interactions provided that a particular parameter of its superpotential is somewhat small. The potential possesses valleys of minima with classical inclination, which can be used as inflationary paths. The model is consistent with the fitting of the three-year Wilkinson microwave anisotropy probe data by the standard power-law cosmological model with cold dark matter and a cosmological constant. In particular, the spectral index turns out to be adequately small so that it is compatible with the data. Moreover, the Pati-Salam gauge group is broken to the standard model gauge group during inflation and, thus, no monopoles are formed at the end of inflation. Supergravity corrections based on a non-minimal Kaehler potential with a convenient choice of a sign keep the spectral index comfortably within the allowed range without generating maxima and minima of the potential on the inflationary path. So, unnatural restrictions on the initial conditions for inflation can be avoided. ",0,1
"It is generally believed that the magnetic free energy accumulated in the corona serves as a main energy source for solar explosions such as coronal mass ejections (CMEs). In the framework of the flux rope catastrophe model for CMEs, the energy may be abruptly released either by an ideal magnetohydrodynamic (MHD) catastrophe, which belongs to a global magnetic topological instability of the system, or by a fast magnetic reconnection across preexisting or rapidly-developing electric current sheets. Both ways of magnetic energy release are thought to be important to CME dynamics. To disentangle their contributions, we construct a flux rope catastrophe model in the corona and solar wind and compare different cases in which we either prohibit or allow magnetic reconnection to take place across rapidly-growing current sheets during the eruption. It is demonstrated that CMEs, even fast ones, can be produced taking the ideal MHD catastrophe as the only process of magnetic energy release. Nevertheless, the eruptive speed can be significantly enhanced after magnetic reconnection sets in. In addition, a smooth transition from slow to fast eruptions is observed when increasing the strength of the background magnetic field, simply because in a stronger field there is more free magnetic energy at the catastrophic point available to be released during an eruption. This suggests that fast and slow CMEs may have an identical driving mechanism. ",0,1
"The first challenge in the formation of both terrestrial planets and the cores of gas giants is the retention of grains in protoplanetary disks. In most regions of these disks, gas attains sub-Keplerian speeds as a consequence of a negative pressure gradient. Hydrodynamic drag leads to orbital decay and depletion of the solid material in the disk, with characteristic timescales as short as only a few hundred years for meter-sized objects at 1 AU. In this paper, we suggest a particle retention mechanism which promotes the accumulation of grains and the formation of planetesimals near the water sublimation front or “snow line.” This model is based on the assumption that, in the regions most interesting for planet formation, the viscous evolution of the disk is due to turbulence driven by the magneto-rotational instability (MRI) in the surface layers of the disk. The depth to which MRI effectively generates turbulence is a strong function of the grain size and abundance. A sharp increase in the grain-to-gas density ratio across the snow line reduces the column depth of the active layer. As the disk evolves towards a quasi-steady-state, this change in the active layer creates a local maximum in radial distribution of the gas surface density and pressure, causing the gas to rotate at super-Keplerian speed and halting the inward migration of grains. This senario presents a robust process for grain retention which may aid in the formation of proto-gas-giant cores preferentially near the snow line. ",0,1
"Ongoing accretion onto galactic disks has been recently theorized to progress via the unstable cooling of the baryonic halo into condensed clouds. These clouds have been identified as analogous to the High-Velocity Clouds (HVCs) observed in HI in our Galaxy. Here we compare the distribution of HVCs observed around our own Galaxy and extra-planar gas around the Andromeda galaxy to these possible HVC analogs in a simulation of galaxy formation that naturally generates these condensed clouds. We find a very good correspondence between these observations and the simulation, in terms of number, angular size, velocity distribution, overall flux and flux distribution of the clouds. We show that condensed cloud accretion only accounts for0.2 M_solar / year of the current overall Galactic accretion in the simulations. We also find that the simulated halo clouds accelerate and become more massive as they fall toward the disk. The parameter space of the simulated clouds is consistent with all of the observed HVC complexes that have distance constraints, except the Magellanic Stream which is known to have a different origin. We also find that nearly half of these simulated halo clouds would be indistinguishable from lower-velocity gas and that this effect is strongest further from the disk of the galaxy, thus indicating a possible missing population of HVCs. These results indicate that the majority of HVCs are consistent with being infalling, condensed clouds that are a remnant of Galaxy formation. ",0,1
"The power spectral density (PSD) function is commonly used to specify seismometer performance. It is derived from the FFT of acceleration and correction is made for the transfer function of the instrument that generated the data. As with any such spectrum of density (`per Hz') type, the noise inherent to a PSD is large. This article illustrates the value of a function that is derived from the PSD and for which the influence of noise is significantly reduced. Called the cumulative spectral power (CSP), it is obtained from the PSD through the noise-reducing process of integration. The maximum of the CSP (corresponding to the longest graphed value of the period) provides a means for estimating the total vibrational power of the earth. The present author has significantly simplified the process of PSD generation. Thus routine graphing is straightforwared-of first the FFT, followed by the generation of both a PSD and its associated CSP. The unique properties of the CSP make it valuable for the study of a variety of earth dynamics. For example, the strking simplicity of a CSP graph generated from a record containing a strong teleseismic earthquake is undoubtedly important to the development and refinement of any viable theory of earthquake dynamics. ",0,1
