text,truth,prediction
"The past three decades of investigation on nuclear physics and pulsar astrophysics have seen gradual recognition that elastodynamic approach to the continuum mechanics of nuclear matter provides proper account of macroscopic motions of degenerate Fermi-matter constituting interior of the nuclear material objects, the densest of all known today. This paper focuses on one theoretical issue of this development which is concerned with oscillatory behavior of a viscoelastic solid globe in the regime of quasistatic, force-free, non-compressional oscillations less investigated in the literature compared to oscillations in the regime of standing shear waves. We show that in this case the problem of computing frequency and lifetime of spheroidal and torsional modes of non-radial shear vibrations damped by viscosity can be unambiguously resolved by working from the energy balance equation and taking advantage of the Rayleigh's variational method. The efficiency of this method is demonstrated by solid globe models of nuclear physics and pulsar astrophysics dealing with oscillations of a spherical mass of a viscoelastic Fermi-solid with homogeneous and non-homogeneous profiles of the bulk density, the shear modulus, and the shear viscosity. ",0,1
"Two types of active region feature prominent at transition region temperatures are identified in Hinode/EIS data of AR 10938 taken on 2007 January 20. The footpoints of 1 MK TRACE loops are shown to emit strongly in emission lines formed at log T=5.4-5.8, allowing the temperature increase along the footpoints to be clearly seen. A density diagnostic of Mg VII yields the density in the footpoints, with one loop showing a decrease from 3x10^9 cm^-3 at the base to 1.5x10^9 cm^-3 at a projected height of 20 Mm. The second feature is a compact active region transition region brightening which is particularly intense in O V emission (log T=5.4) but also has a signature at temperatures up to log T=6.3. The Mg VII diagnostic gives a density of 4x10^10 cm^-3, and emission lines of Mg VI and Mg VII show line profiles broadened by 50 km/s and wings extending beyond 200 km/s. Continuum emission in the short wavelength band is also found to be enhanced, and is suggested to be free-bound emission from recombination onto He^+. ",0,1
"We show that the jet structure of gamma-ray bursts (GRBs) can be investigated with the tail emission of the prompt GRB. The tail emission which we consider is identified as a steep-decay component of the early X-ray afterglow observed by the X-ray Telescope onboard Swift. Using a Monte Carlo method, we derive, for the first time, the distribution of the decay index of the GRB tail emission for various jet models. The new definitions of the zero of time and the time interval of a fitting region are proposed. These definitions for fitting the light curve lead us an unique definition of the decay index, which is useful to investigate the structure of the GRB jet. We find that if the GRB jet has a core-envelope structure, the predicted distribution of the decay index of the tail has a wide scatter and has multiple peaks, which cannot be seen for the case of the uniform and the Gaussian jet. Therefore, the decay index distribution tells us the information on the jet structure. Especially, if we observe events whose decay index is less than about 2, both the uniform and the Gaussian jet models will be disfavored according to our simulation study. ",0,1
"We present a numerical study and analytical model of the optical near-field diffracted in the vicinity of subwavelength grooves milled in silver surfaces. The Green's tensor approach permits computation of the phase and amplitude dependence of the diffracted wave as a function of the groove geometry. It is shown that the field diffracted along the interface by the groove is equivalent to replacing the groove by an oscillating dipolar line source. An analytic expression is derived from the Green's function formalism, that reproduces well the asymptotic surface plasmon polariton (SPP) wave as well as the transient surface wave in the near-zone close to the groove. The agreement between this model and the full simulation is very good, showing that the transient 'near-zone' regime does not depend on the precise shape of the groove. Finally, it is shown that a composite diffractive evanescent wave model that includes the asymptotic SPP can describe the wavelength evolution in this transient near-zone. Such a semi-analytical model may be useful for the design and optimization of more elaborate photonic circuits whose behavior in large part will be controlled by surface waves. ",0,1
"Arguments showing that exchange-only optimized effective potential (xOEP) methods, with finite basis sets, cannot in general yield the Hartree-Fock (HF) ground state energy, but a higher one, are given. While the orbital products of a complete basis are linearly dependent, the HF ground state energy can only be obtained via a basis set xOEP scheme in the special case that all products of occupied and unoccupied orbitals emerging from the employed orbital basis set are linearly independent from each other. In this case, however, exchange potentials leading to the HF ground state energy exhibit unphysical oscillations and do not represent a Kohn-Sham (KS) exchange potential. These findings solve the seemingly paradoxical results of Staroverov, Scuseria and Davidson that certain finite basis set xOEP calculations lead to the HF ground state energy despite the fact that within a real space (or complete basis) representation the xOEP ground state energy is always higher than the HF energy. Moreover, whether or not the occupied and unoccupied orbital products are linearly independent, it is shown that basis set xOEP methods only represent exact exchange-only (EXX) KS methods, i.e., proper density-functional methods, if the orbital basis set and the auxiliary basis set representing the exchange potential are balanced to each other, i.e., if the orbital basis is comprehensive enough for a given auxiliary basis. Otherwise xOEP methods do not represent EXX KS methods and yield unphysical exchange potentials. ",0,1
"We analyze the observations of the transient X-ray pulsar 4U 0115+63 with the RXTE and INTEGRAL observatories in a wide X-ray (3-100 keV) energy band during its intense outbursts in 1999 and 2004. The energy of the fundamental harmonic of the cyclotron resonance absorption line near the maximum of the X-ray flux from the source (luminosity range 5x10^37 - 2x10^38 erg/s) is11 keV. When the pulsar luminosity falls below5x10^37 erg/s, the energy of the fundamental harmonic is displaced sharply toward the high energies, up to16 keV. Under the assumption of a dipole magnetic field configuration, this change in cyclotron harmonic energy corresponds to a decrease in the height of the emitting region by2 km, while other spectral parameters, in particular, the cutoff energy, remain essentially constant. At a luminosity7x10^37 erg/s, four almost equidistant cyclotron line harmonics are clearly seen in the spectrum. This suggests that either the region where the emission originates is compact or the emergent spectrum from different (in height) segments of the accretion column is uniform. We have found significant pulse profile variations with energy, luminosity, and time. In particular, we show that the profile variations from pulse to pulse are not reduced to a simple modulation of the accretion rate specified by external conditions. ",0,1
"If the cold dark matter consists of weakly interacting massive particles (WIMPs), anticipated measurements of the WIMP properties at the Large Hadron Collider (LHC) and the International Linear Collider (ILC) will provide an unprecedented experimental probe of cosmology at temperatures of order 1 GeV. It is worth emphasizing that the expected outcome of these tests may or may not be consistent with the picture of standard cosmology. For example, in kination-dominated quintessence models of dark energy, the dark matter relic abundance can be significantly enhanced compared to that obtained from freeze out in a radiation-dominated universe. Collider measurements then will simultaneously probe both dark matter and dark energy. In this article, we investigate the precision to which the LHC and ILC can determine the dark matter and dark energy parameters under those circumstances. We use an illustrative set of four benchmark points in minimal supergravity in analogy with the four LCC benchmark points. The precision achievable together at the LHC and ILC is sufficient to discover kination-dominated quintessence, under the assumption that the WIMPs are the only dark matter component. The LHC and ILC can thus play important roles as alternative probes of both dark matter and dark energy. ",0,1
"We make use of new near and mid-IR photometry of the Pleiades cluster in order to help identify proposed cluster members. We also use the new photometry with previously published photometry to define the single-star main sequence locus at the age of the Pleiades in a variety of color-magnitude planes.The new near and mid-IR photometry extend effectively two magnitudes deeper than the 2MASS All-Sky Point Source catalog, and hence allow us to select a new set of candidate very low mass and sub-stellar mass members of the Pleiades in the central square degree of the cluster. We identify 42 new candidate members fainter than Ks =14 (corresponding to 0.1 Mo). These candidate members should eventually allow a better estimate of the cluster mass function to be made down to of order 0.04 solar masses.We also use new IRAC data, in particular the images obtained at 8 um, in order to comment briefly on interstellar dust in and near the Pleiades. We confirm, as expected, that – with one exception – a sample of low mass stars recently identified as having 24 um excesses due to debris disks do not have significant excesses at IRAC wavelengths. However, evidence is also presented that several of the Pleiades high mass stars are found to be impacting with local condensations of the molecular cloud that is passing through the Pleiades at the current epoch. ",0,1
"We consider the extension of the supersymmetric Pati-Salam model which solves the b-quark mass problem of supersymmetric grand unified models with exact Yukawa unification and universal boundary conditions and leads to the so-called new shifted hybrid inflationary scenario. We show that this model can also lead to a new version of smooth hybrid inflation based only on renormalizable interactions provided that a particular parameter of its superpotential is somewhat small. The potential possesses valleys of minima with classical inclination, which can be used as inflationary paths. The model is consistent with the fitting of the three-year Wilkinson microwave anisotropy probe data by the standard power-law cosmological model with cold dark matter and a cosmological constant. In particular, the spectral index turns out to be adequately small so that it is compatible with the data. Moreover, the Pati-Salam gauge group is broken to the standard model gauge group during inflation and, thus, no monopoles are formed at the end of inflation. Supergravity corrections based on a non-minimal Kaehler potential with a convenient choice of a sign keep the spectral index comfortably within the allowed range without generating maxima and minima of the potential on the inflationary path. So, unnatural restrictions on the initial conditions for inflation can be avoided. ",0,1
"We have employed a 3-d energy-conserving radiation MHD code to simulate the vertical structure and thermodynamics of a shearing box whose parameters were chosen so that the radiation and gas pressures would be comparable. The upper layers of this disk segment are magnetically-dominated, creating conditions appropriate for both photon bubble and Parker instabilities. We find little evidence for photon bubbles, even though the simulation has enough spatial resolution to see them and their predicted growth rates are high. On the other hand, there is strong evidence for Parker instabilities, and they appear to dominate the evolution of the magnetically supported surface layers. The disk photosphere is complex, with large density inhomogeneities at both the scattering and effective (thermalization) photospheres of the evolving horizontally-averaged structure. Both the dominant magnetic support and the inhomogeneities are likely to have strong effects on the spectrum and polarization of thermal photons emerging from the disk atmosphere. The inhomogeneities are also large enough to affect models of reflection spectra from the atmospheres of accretion disks. ",0,1
